,Food,Servic,Worth(Price),Design
leevan_zoghalchi,4, 5,4,5
dandehshisha,null,null,null,null
caffenoon,null,null,null,null
terasideh,null,null,null,null
restaurantyasmina,null,null,null,null
sky_lounge,2, 2,4,2
lertcafe,null,null,null,null
arnoosh_home,null,null,null,null
24saadatabad,null,null,null,null
miraarthouse,3, 4,4,4
corleone,3, 4,3,3
danteh_marzdaran,1, 1,3,4
yar_mansion,3, 3,4,3
fermo,4, 5,5,4
shaparak_jomhori,null,null,null,null
spinach,null,null,null,null
samaaflak,null,null,null,null
dorche_opal,5, 4,5,3
pirashki_khosravi,0, 0,0,0
rahas,null,null,null,null
ivancafe,4, 4,5,4
tierra,5, 5,5,5
yaserkhan,null,null,null,null
sora_shahrerey,0, 0,0,0
cafefarvahar,0, 0,0,0
pooli,null,null,null,null
feloreh,null,null,null,null
manza,4, 4,4,4
vip_kazemi,4, 4,4,4
cafebeniz,null,null,null,null
angeram,null,null,null,null
marool,null,null,null,null
nuck,0, 0,0,0
nara,null,null,null,null
cluna_firoze,0, 0,0,0
chiakoo_pasadaran,null,null,null,null
delsa_pasadaran,2, 2,4,1
lena_tehranpars,null,null,null,null
viuna_rosha,5, 5,4,5
kaarizno,4, 4,3,3
nikou,4, 4,5,4
aroma_shahrakgolestan,null,null,null,null
babel,5, 4,4,5
hoorfamily,3, 3,4,3
boncoffee,null,null,null,null
niwayard,null,null,null,null
dafaraz,0, 0,0,0
narvan_enghelab,4, 4,4,4
chekad,null,null,null,null
doppio,null,null,null,null
karkhane,1, 2,5,1
