,Food,Servic,Worth(Price),Design
rebelan,4, 4,4,4
movaazi,4, 4,4,4
xigan,4, 5,5,4
cacta,5, 5,5,4
moon_lounge,4, 4,4,4
chargoosh_cafe,2, 2,2,2
biscotti,4, 4,4,4
h_and_h,4, 4,4,4
foodmarket_avacenter,4, 4,4,4
negima,4, 4,4,4
te_cafe,3, 4,3,4
mehre_nikta,1, 1,1,1
ocean,3, 4,4,3
iran_nutella,3, 3,3,3
mazzo_plus,4, 4,4,3
kassab_tajrish,3, 4,4,2
nakhlestan,4, 4,4,4
epicure,4, 4,5,3
fanus_tarasht,4, 5,4,5
bajoran,2, 2,2,2
seencoffee_niloofar,4, 4,4,4
karzin_pasdaran,4, 4,4,3
icepack,3, 3,3,3
malas,5, 5,5,5
glaris,4, 4,3,4
barizan,3, 3,3,4
goleyakh_piruzi,4, 4,4,4
crepe_rahechoobi,4, 3,4,3
gelato_plus,4, 4,4,4
rozhano,4, 5,4,4
emza,4, 3,4,3
baalaa,5, 5,5,4
tomo_samsenter,4, 4,4,4
vicolo_bamland,4, 3,4,3
darolkhelafe,4, 4,5,4
viuna_argtajrish,4, 4,4,4
qamar,4, 4,4,4
varf,2, 2,3,2
roj,3, 3,4,3
haft_cheshmeh1,4, 4,4,4
mehraban,4, 4,4,4
bapook,0, 0,0,0
viuna_saadatabad,4, 4,4,4
tehranbeen,4, 4,4,3
cut_cafe,5, 4,4,3
cluna,4, 4,4,4
cafe_chance,4, 3,4,4
hesekhob1,5, 5,5,5
mazeh,5, 5,3,5
shahoo,3, 2,2,2
royal_lounge,2, 2,4,2
