,Food,Servic,Worth(Price),Design
hotelborjsefid,1, 1,3,5
rick,4, 4,4,4
ood,4, 2,4,3
deno,3, 3,3,3
mira,4, 4,4,4
selfi,4, 4,4,4
manoro,4, 3,4,4
atigh,null,null,null,null
amirchocolate,3, 3,2,3
roja,4, 3,3,3
gooshe,4, 4,4,3
rang,3, 3,3,3
milieu,5, 5,5,5
barn,4, 4,4,3
reera,4, 4,4,3
bofe-ketab,3, 4,4,4
hotchocolateniloofar,4, 3,2,4
karzin-vanak,0, 0,0,0
coco,null,null,null,null
delo,4, 4,4,4
vcafefelestin,4, 4,4,4
sara,null,null,null,null
dorsa,4, 4,5,4
vionaplus,4, 4,4,4
beniceandarzgo,5, 2,2,2
jelatolab,4, 4,4,3
naser,4, 3,2,4
belin,4, 4,4,4
melody,4, 4,4,4
nescocafe,5, 4,4,4
robertocafe,4, 4,4,4
gozar,4, 4,4,4
dodo,2, 2,2,2
in,null,null,null,null
sepanj,4, 4,4,4
lamiz-enghelab,3, 3,3,4
lamiz-mirdamad,4, 4,4,4
lamiz-tajrish,4, 3,3,4
shano,4, 5,4,4
samcoffee2,4, 3,4,3
sousheh,null,null,null,null
un,5, 4,4,4
hookagi,4, 4,4,4
cafeeskan,4, 4,4,4
nando,0, 0,0,0
sadafmirdamad,5, 5,5,5
panjere,4, 3,4,4
khas,3, 3,4,3
samcofe,4, 4,4,4
cofenaderi,3, 2,3,3
