,Food,Servic,Worth(Price),Design
zhiner_plus,null,null,null,null
loutra,null,null,null,null
52hz_cafe,null,null,null,null
theyarcafe,null,null,null,null
cafe_bavar,null,null,null,null
diversolounge,3, 4,5,3
interni_gharb,4, 4,4,4
deer_factory,null,null,null,null
blackbox_artcenter,null,null,null,null
delin_cafe,null,null,null,null
coffee_come,null,null,null,null
laminerlounge,0, 0,0,0
riva_platin,null,null,null,null
emcafe,null,null,null,null
eran_cafe,null,null,null,null
locadonut_niavaran,null,null,null,null
locadonut_fereshteh,null,null,null,null
locadonut_saadatabad,null,null,null,null
kohenor,null,null,null,null
cafevalhalla,null,null,null,null
cafekamak_pasdaran,null,null,null,null
cafekamak,null,null,null,null
ghahve_khan,null,null,null,null
lidocafe,null,null,null,null
shaghayegh_cafe,null,null,null,null
lavender_fereshteh,null,null,null,null
film_classic,null,null,null,null
raman_farahzadi,null,null,null,null
ruchik,null,null,null,null
hakubuffet,null,null,null,null
home_alborz,null,null,null,null
cafehaft7,null,null,null,null
shebrocafe,null,null,null,null
brunchetto,null,null,null,null
barsincoffee,null,null,null,null
adisheh_lounge1,null,null,null,null
golzar_cafe,null,null,null,null
cafe_chaai,2, 2,4,2
avli,null,null,null,null
loafboxbakery,null,null,null,null
meri,null,null,null,null
blucasa2,null,null,null,null
blucasa3,null,null,null,null
yankee,null,null,null,null
c2,null,null,null,null
hezarafsan,null,null,null,null
philosophique,null,null,null,null
prologue_cafe,null,null,null,null
the_d_project_cafe,null,null,null,null
lavielounge,null,null,null,null
cafe_zhivan,null,null,null,null
