,Food,Servic,Worth(Price),Design
hizom_cafe,null,null,null,null
bamboo_saadatabad,null,null,null,null
kolbeh_fadak,null,null,null,null
bastanireza_narmak,2, 1,1,2
haa_valiasr,0, 0,0,0
silk_enghelab,0, 0,0,0
rocca_lounge,3, 3,3,2
sanglaj_topkhane,null,null,null,null
selini,4, 4,4,4
akoa_piruzi,4, 4,5,4
siahosefid,null,null,null,null
zhelino_abozar,0, 0,0,0
g_pasdaran,4, 5,2,4
syda_saadatabad,0, 0,0,0
khosro,4, 4,3,4
ketab_iranmal,3, 4,5,4
khaneh_doost_kojast,4, 4,4,4
pelak_felestin,4, 3,3,4
sadaf_tehranpars,0, 0,0,0
maha,5, 4,5,5
bijan_cafe,null,null,null,null
shadan,null,null,null,null
cama,null,null,null,null
chowgan,0, 0,0,0
zeecook,5, 5,5,5
ram,5, 5,5,5
lussen,3, 4,4,4
nava,5, 5,5,5
boardland,2, 2,4,2
bazdid,3, 3,3,3
arabika,0, 0,0,0
murph,5, 5,5,5
emaratedel,4, 3,4,4
hich_cafe,null,null,null,null
telma,null,null,null,null
sitka,3, 3,4,2
703_resturant,4, 4,4,4
alakdolak,0, 0,0,0
viuna_opalsenter,3, 3,5,4
ozhen,null,null,null,null
bord_motahari,3, 3,3,3
shemroon_ekbatan,4, 4,4,4
amante,null,null,null,null
fantino,null,null,null,null
bilion,4, 4,4,4
terraceparkcafe,5, 5,4,4
didar_pasdaran,4, 4,4,5
taak_piroozi,4, 4,5,3
bcafe_zaferanieh,null,null,null,null
viuna_pelatin,3, 3,4,3
istgah_laleh,4, 4,3,4
