,Food,Servic,Worth(Price),Design
kavich_andarzgu,null,null,null,null
cafe_burka,null,null,null,null
vania_pastry_cafe,null,null,null,null
karno_food,null,null,null,null
interni,3, 2,4,2
ketab_niyavaran,null,null,null,null
sambisam,0, 0,0,0
saraye_arghavan,null,null,null,null
seen_college,4, 4,4,4
lotus_restaurant,null,null,null,null
pegaharthouse,null,null,null,null
cafedaj,null,null,null,null
nonstop_cafe,4, 4,4,3
khaneh_nafisa_saadatabad,null,null,null,null
vahebookcafe,null,null,null,null
cafe_clinic,5, 2,1,4
razzaz_boutique,null,null,null,null
pera,null,null,null,null
osho_cafe,null,null,null,null
tehrooncafe_iranshahr,null,null,null,null
hozekashi,null,null,null,null
sinaancafe,1, 1,1,1
redcafe_takeaway,null,null,null,null
coferesturan_theone,null,null,null,null
cafelanti,null,null,null,null
diba_mirdamad,null,null,null,null
dobarbakery2,null,null,null,null
dobarbakery,null,null,null,null
alsocafe,null,null,null,null
havaliedelbar,1, 1,4,1
serbon,null,null,null,null
hasht_behesht,null,null,null,null
bal_iranmal,3, 4,4,3
bal_jordan,null,null,null,null
pets,null,null,null,null
matsu_lounge,1, 1,2,1
lamoure_org,null,null,null,null
baran_mansion,null,null,null,null
roomeroonrestaurant,null,null,null,null
pastofood,4, 4,5,4
paypar_complex,null,null,null,null
houseofcard,null,null,null,null
rischee29,null,null,null,null
rosettcafe,null,null,null,null
chaikenar,1, 1,1,2
garnet,null,null,null,null
cafe_baran1,null,null,null,null
central_caferestaurant,null,null,null,null
cafe_lyar,null,null,null,null
cafe_ceramic,null,null,null,null
