,Food,Servic,Worth(Price),Design
cafe_theatre,null,null,null,null
cafe_greenbean,null,null,null,null
pantheon_cafe_resturant,null,null,null,null
cafe__zehn,null,null,null,null
lorenzo_lounge,2, 2,4,2
cafediamond,0, 0,0,0
hattrick_cafe,null,null,null,null
cafe_boardica,null,null,null,null
fekrkade_complex_opal,null,null,null,null
mysterybox,null,null,null,null
pol_art,null,null,null,null
moon_lightlounge,null,null,null,null
cafe_arsh,null,null,null,null
royalrosecafe,null,null,null,null
ravicafegallery,null,null,null,null
shar_lounge,null,null,null,null
maya_cottage,null,null,null,null
schonbrunn,3, 3,4,3
amore_cafee,5, 5,4,4
objet,null,null,null,null
pensocafe,null,null,null,null
toos_cafe,null,null,null,null
paprika__house,4, 4,5,4
marjolainegateau,null,null,null,null
delpiano_caferestaurant,null,null,null,null
novel_cafe_restaurant,null,null,null,null
rion_restaurant,null,null,null,null
mahed,null,null,null,null
bluma,4, 5,3,3
dam_cafe,null,null,null,null
cafeviunasohrevardi,0, 0,0,0
dibacheh_mansion,3, 3,3,3
morralounge,4, 5,4,4
monsterbastani,null,null,null,null
mann_book_cafe,null,null,null,null
zi_cafee,null,null,null,null
hug_cafe_house,null,null,null,null
theyard,null,null,null,null
cafeneshin1,null,null,null,null
carshow,null,null,null,null
lightcafe,null,null,null,null
avana_cafe,0, 0,0,0
roomeroon,null,null,null,null
zahira_lounge,0, 0,0,0
ruby,3, 2,2,2
trend,5, 5,4,4
impresso,null,null,null,null
nicki_lounge,null,null,null,null
injacafe,4, 4,2,4
abtin_icecream,1, 3,3,3
hoomaan,null,null,null,null
