,Food,Servic,Worth(Price),Design
house1307,2, 2,3,2
viuna_paladiom,4, 4,4,4
lavenderfarmaniye,3, 5,4,4
shahrzad2,4, 4,4,4
tezburrger,5, 5,5,5
denja,4, 4,4,4
chimney_niavaran,2, 4,3,3
mito_arg,5, 4,5,4
nesen,4, 4,4,4
bookalounge,null,null,null,null
simoni_pirozi,3, 3,4,3
sweet_dream,4, 4,4,4
rocco_cafe_arg,3, 3,3,2
baharbeheshti,3, 3,3,3
tetoo,4, 4,5,4
donutto,3, 3,3,3
un_valiasr,3, 2,3,3
zhira,1, 1,2,1
leto,null,null,null,null
florian,3, 2,4,2
dorreh,3, 3,4,4
ist,5, 5,5,5
dejavu_ardebili,3, 2,3,1
khancafe_tehranpars,null,null,null,null
ero,4, 4,5,4
fekr_daneshgah,3, 2,4,4
chimney-dadman,3, 3,3,3
hermo_tehranpars,2, 2,1,3
sicas,1, 2,4,1
bamdad1,4, 4,4,4
viuna_kourosh,3, 3,3,3
bab_al_bahr,4, 4,5,3
cluna_parkway,4, 4,4,4
bamino_baqketab,4, 4,4,3
lime_golestan,4, 3,4,3
ch_cafe,5, 5,4,5
kooche_moka,5, 4,5,4
thisfun,4, 4,3,4
cam_cafe,0, 0,0,0
benitacafe_plus,5, 5,5,5
johaina,4, 4,4,3
clunavanak2,3, 1,1,3
lamiz_pasdaran,5, 4,4,4
lumiere,0, 0,0,0
love_ice_cream,5, 5,5,5
dopiano,4, 4,5,4
amirchocolate_saadatabad,4, 3,3,3
greenwood,4, 4,4,3
downtown_planet,4, 4,4,4
koolak1,5, 4,3,5
sakura,5, 4,3,4
