,Food,Servic,Worth(Price),Design
blacklounge-bamland,3, 3,4,3
ebony,null,null,null,null
cafe41,5, 5,5,4
cafese,4, 4,4,4
salomba,4, 4,4,4
khancookk,4, 4,5,4
darbar_cafe,3, 3,4,3
queen,3, 1,2,3
etefagh,5, 3,4,5
buoncibo,1, 1,1,1
zhiyan,null,null,null,null
dorehami_emamzadehhasan,4, 4,5,4
ahoon,3, 3,4,4
cluna_taleghani,3, 3,3,3
dallatera,4, 4,4,4
salomeh,5, 5,5,4
rum-bistro,5, 4,3,4
vcafe-pasdaran,4, 4,4,4
herman,5, 4,4,4
baba-cafe,3, 4,4,4
shokofeh_farahzad,4, 4,4,4
nonvaghahve,3, 3,3,3
dake_shahrakgolestan,0, 0,0,0
mahestan-kan,5, 5,4,4
piansa,4, 4,3,3
khanefamouri,2, 2,3,2
fresco,0, 0,0,0
mandela_jordan,4, 3,4,3
platform934,4, 3,4,4
roshanan,4, 3,4,4
cafetehraan,null,null,null,null
pelak5_tehransar,4, 4,3,3
do_zardeh,2, 2,2,2
lamiz_farmaniyeh,5, 4,5,5
sheys,0, 0,0,0
honar_tajrobe,3, 4,4,4
balkon,4, 3,4,3
hanna-boutiquehotel,3, 4,4,2
rock_somayeh,4, 4,5,4
macklly-nirohavaee,3, 4,4,2
rouhi_tajrish,4, 5,5,4
cafechimney-vozara,3, 3,3,2
rolinja,3, 3,4,3
samiya,3, 4,3,3
poshtboom_keshavarz,4, 4,4,4
nivan,null,null,null,null
sepidar,3, 3,4,3
salatin,null,null,null,null
local2,4, 4,5,4
ec1838b1-5d95-4ad6-bc79-767fbba060fd,2, 2,5,2
hiro,null,null,null,null
