,Food,Servic,Worth(Price),Design
terasmashhad,5, 4,5,4
terrace-mashhad,null,null,null,null
pardisan_mashad,0, 0,0,0
boocafe,0, 0,0,0
aron_mashhad,null,null,null,null
comma_mahshad,null,null,null,null
sandali-mashhad,0, 0,0,0
suger-ahmadabad-mashhad,4, 4,4,4
suger-sajad-mashhad,3, 4,5,3
kook-mashhad,0, 0,0,0
leon-mashhad,0, 0,0,0
retro-mashhad,0, 0,0,0
cafe1860-mashhad,4, 4,5,4
nabaatcafe-mashhad,5, 4,4,3
cafe81,1, 4,5,3
