,Food,Servic,Worth(Price),Design
boote,4, 5,4,4
amirkhan-arak,0, 0,0,0
tishini-arak,null,null,null,null
caracal-arak,1, 1,1,1
cinemaasrejadid-arak,3, 2,4,2
payiz-arak,2, 2,4,2
