,Food,Servic,Worth(Price),Design
diao_kerman,null,null,null,null
5-30,4, 3,4,3
royal_cafe,0, 0,0,0
ritooncafe-kerman,0, 0,0,0
pianocafe-kerman,0, 0,0,0
sharbatchiyan,4, 4,4,4
roz-kerman,4, 4,4,4
barista-kerman,4, 4,4,4
keykhosro,3, 4,4,3
