,Food,Servic,Worth(Price),Design
kincoofe,4, 3,3,4
liv-liv,4, 4,4,3
nazdikcoofe,4, 4,4,4
anso,4, 4,5,4
part,2, 2,3,2
ascoffe,4, 4,4,3
raya,4, 4,4,4
kajeh,4, 4,4,3
oriant,4, 4,4,4
emarat-res,3, 3,3,3
viuna-milad,3, 4,4,4
lavender,0, 0,0,0
andora,4, 5,4,4
leoncaffee,4, 4,4,3
viunanoor,4, 4,4,4
langin-shahrakgharb,3, 3,3,3
langingandi,4, 4,4,4
cafe-sadaf,5, 5,5,4
lido,4, 4,4,4
vorta,4, 3,4,4
paradizu,4, 4,4,4
doris,3, 3,2,2
shandizsoor,3, 3,3,3
coffeelime,4, 3,4,4
coffeesolehvanak,4, 4,4,4
amirshokolatfarmanieh,3, 3,3,4
b133,4, 4,3,4
b30,2, 3,3,3
b130,4, 4,5,4
b36,0, 0,0,0
b65,4, 3,3,3
b6,null,null,null,null
spidgah,3, 3,3,3
loupato,3, 4,3,3
b19,4, 3,3,4
paeez98shahrara,4, 4,4,4
b60,4, 4,3,3
b34,4, 4,4,4
saghdoosh,2, 2,2,2
first_cup_cafe,3, 3,3,4
b109,null,null,null,null
spu,4, 3,4,3
b21,4, 4,4,4
selin,3, 3,3,3
b23,3, 1,3,3
pesto,4, 4,4,4
pop,4, 4,4,4
lamizvaliasr,4, 4,4,4
icafe,4, 4,4,4
