,Food,Servic,Worth(Price),Design
lavazza,4, 4,5,4
navado_shish_kish,4, 4,5,4
foodsun_kish,1, 1,3,1
cafeananas-kish,5, 4,4,4
micafe-kish,0, 0,0,0
tehroon-cafe-kish,4, 4,4,4
padide-shandiz-kish,2, 2,3,2
honarmand-kish,3, 4,5,4
viuna-kish,4, 4,3,4
mirmohanna,3, 3,3,3
