,Food,Servic,Worth(Price),Design
insidecafe,null,null,null,null
cafe_snake,null,null,null,null
hobo_lounge,null,null,null,null
ariya_restaurant_sonati,null,null,null,null
hemera_tehran,null,null,null,null
herma_cafe,null,null,null,null
levicafe,null,null,null,null
emaratehoor,null,null,null,null
open_mindcafe,null,null,null,null
niki_caferestaurant,null,null,null,null
maronbar,null,null,null,null
mashacafe_evinhotel,null,null,null,null
odessa,0, 0,0,0
dolitcafe,null,null,null,null
cafemostaghel,null,null,null,null
roseofpersia,null,null,null,null
harmonyy_cafe,null,null,null,null
bell,null,null,null,null
coffeemarat7hoz,null,null,null,null
alenda,null,null,null,null
nobu_tehran,null,null,null,null
grossi_restaurant,null,null,null,null
fisherabadcoffee,null,null,null,null
pinkflower,null,null,null,null
rota_lounge,4, 4,5,5
rhinocafeclub,null,null,null,null
ronak_gardencafe,null,null,null,null
prisca_cafe_restaurant,null,null,null,null
cafe_beynolmelal,null,null,null,null
odette_cafe,null,null,null,null
cozylounge,0, 0,0,0
baccara_cafe,4, 4,4,3
fidar,null,null,null,null
baraz,null,null,null,null
sesenik,null,null,null,null
bonak_cafe,0, 0,0,0
garas,null,null,null,null
cafe_clavier,null,null,null,null
cafe_darbar,null,null,null,null
routinecoffee,null,null,null,null
look_cafe,null,null,null,null
jiliz_viliz_romi,null,null,null,null
cafekonj,null,null,null,null
lounge12,null,null,null,null
maktabe_ghahve,null,null,null,null
cafe_karbon,null,null,null,null
luna_cafe,null,null,null,null
zeehouse,3, 4,3,4
braftto,null,null,null,null
lidopluss,4, 3,3,3
wantedfastfood,null,null,null,null
