,Food,Servic,Worth(Price),Design
cafechi_qom,5, 5,5,5
firoozeh,4, 4,4,4
lamiz-qom,5, 5,5,5
chamedoon-qom,0, 0,0,0
barancafe-qom,5, 5,5,5
barooncafe-qom,4, 4,4,4
zhihat-qom,4, 4,4,3
javvafe-qom,0, 0,0,0
bahmancafe-qom,0, 0,0,0
