,Food,Servic,Worth(Price),Design
bnd_hormozgan,5, 5,5,5
konjdenj-bandarabas,null,null,null,null
nardin-bandarabas,null,null,null,null
salmont-bandarabas,2, 2,2,3
art-bandarabas,null,null,null,null
rush-bandarabas,1, 1,1,2
coco-bandarabas,null,null,null,null
grillpiano-bandarabas,0, 0,0,0
fin-bandarabas,0, 0,0,0
