,Food,Servic,Worth(Price),Design
kariz_garden,4, 3,4,3
tabiat-vip,4, 4,4,4
black_bears,4, 4,4,3
volga,2, 2,2,2
viand,3, 3,4,3
terrace,1, 1,1,1
lebiina,4, 4,4,3
amoobiook_icecream,4, 4,2,4
gerrdo,4, 4,4,4
nayrika,4, 4,4,3
karfe,null,null,null,null
behrozan_tehranpars,null,null,null,null
river,3, 2,3,2
pat,4, 4,3,4
ashvan,5, 5,5,5
viuna-heravicenter,4, 4,4,4
viunaexpress_sana,3, 2,2,3
hes_cafe,4, 4,5,4
gerand_hayat,4, 4,4,4
mania,1, 1,2,1
game-cafe-gik,4, 4,4,4
rouhi-cafe,4, 4,5,4
peranah,4, 4,4,4
persiangalf,4, 4,4,4
whale,4, 4,3,4
vozarahotelapartment,4, 4,4,4
del,2, 2,4,3
ghasremoj,4, 4,4,4
yama,5, 5,4,5
ariana-art-cafe,3, 3,3,2
otagh_enqelab,4, 4,5,5
boulevard,4, 4,4,4
level4,4, 3,4,3
bookcity,4, 3,4,4
music,4, 4,4,4
diplomat,null,null,null,null
raees-jam,4, 5,4,4
lamiz,3, 3,4,4
linecafe,4, 3,4,4
opal,0, 0,0,0
omid,4, 4,4,4
kariz,4, 3,4,3
azerbaijan_teahouse,0, 0,0,0
sub,3, 3,3,3
golestan1,0, 0,0,0
bonjour-cafe,4, 3,4,4
veis-cafe,4, 4,4,4
rumi,3, 3,4,3
radcafe,4, 3,4,3
cofeyshe,4, 4,4,4
