,Persian Name,Address,Phone Number,Is Open,Price_Class,Rate
hotelborjsefid,هتل برج سفید,پاسداران، روبروی بوستان ششم، هتل برج سفید,02122554000,11-23,3,5.3
rick,ریک,سعادت آباد،ميدان بهرود،كوچه٣٣،روبروي هتل اسپيناس,02122118102,10-23:30,2,7.3
ood,عود,بلوارکشاورز، خیابان جمالزاده شمالی، نبش کوچه قاجار، پلاک ۵۲۲,02166595766,11-24,2,5.3
deno,دنو,بزرگراه ستاری شمال، مجتمع تجاری فرهنگی کوروش، طبقه اول,02144961463,9-23,2,6.6
mira,میرا,ضلع جنوب غربی میدان انقلاب، جنب بانک پارسیان، ساختمان اسفند، طبقه اول,02166575736,8-22:30,2,8.0
selfi,سلفی,خیابان ولیعصر روبروی تئاتر شهر جنب كوچه پشن پاساژ صدف واحد 16,02166499792,10-22,1,7.0
manoro,مان و رو,خیابان ولیعصر ، نبش خیابان میرداماد ، مجتمع تجاری اسکان ، طبقه زیر همکف,02188873774,8-22,1,7.8
atigh,عتیق,میدان شیخ بهایی، برج آفتاب,02188048166,8-23,2,null
amirchocolate,امیرشکلات (تیراژه),اشرفی اصفهانی، مجتمع تجاری تیراژه طبقه زیر همکف,02144493137,10-23,1,6.1
roja,روجا,خیابان جمهوری ،بعد ازسعدی خیابان صف، مجتمع تجاری باغ سپهسالار طبقه 1-,02133904790,10-22,2,6.8
gooshe,گوشه,خیابان شهید مفتح، نبش تقاطع سمیه، جنب هتل مارلیک، پلاک ۶۵,02188862554,9:30-22,1,7.2
rang,رنگ,خیابان شهید مدنی، جنب مترو شهید مدنی، مرکز خرید تیراژه ۲، طبقه چهارم، واحد ۴۲۸,02177587806,11-22:30,2,6.6
milieu,میلیو,میدان هروی، بلوارگلزار، خیابان شهیدخاک، پلاک 5,02122984190,12-24,2,8.3
barn,بارن,خیابان مطهری، خیابان سهروردی جنوبی، خیابان اورامان، پلاک ۱۳,02188341252,7-23:30,2,8.0
reera,ری را,خیابان نوفل لوشاتو بن بست لولاگر شماره ۵,02166707646,9:30-23:30,2,8.3
bofe-ketab,بوفه کتاب مکتب تهران,خیابان کریمخان آبان جنوبی پایین تراز ورشو کوچه کیوان پلاک8,02188891512,11-23,1,6.9
hotchocolateniloofar,هات چاکلت نیلوفر,تهران، سهروردی شمالی، آپادانا، خیابان نیلوفر، پلاک 126,02188762424,7:30-24,1,7.7
karzin-vanak,کارزین ونک,خیابان ونک،نبش کاروتجارت مرکز خرید ونک,02188677041,8-24,2,7.5
coco,کوکو,شهرک غرب بلوار فرحزادی خیابان عباسی اناری (ارغوان) پاساژ آریا,02188385277,9-11:30,2,null
delo,دلو,فاز ۱ اكباتان ، بلوار نفيسي ، پلاک۷۹ ، طبقه اول ، واحد۲,02144666004,8-24,2,7.3
vcafefelestin,ویکافه (فلسطین),خیابان فلسطین، بالاتر از خیابان انقلاب، نبش خیابان نایبی,02166976041,8-22:30,2,8.3
sara,متاسفانه خطایی رخ داده است. در صورت تکرار لطفا از طریق صفحه تماس با ما مشکل را گزارش کنید,null,null,null,0,null
dorsa,درسا,خیابان شریعتی، نرسیده به دوراهی دولت، بالاتر از تقاطع یخچال، خانه درسا، طبقه سوم,02126643255,10-23,3,9.0
vionaplus,ویونا پلاس,بزرگراه شهید حقانی، خیابان شهیدی، انتهای کوچه کمان، پارک آب و آتش,02143937,8:30-23:30,1,8.6
beniceandarzgo,بن آیس (اندرزگو),خیابان اندرزگو، نبش بلوچ شمالی، پایین ساختمان علی بابا,02122233304,7-23,2,8.1
jelatolab,کارگاه جلاتو,شهرک غرب،فاز ۱ ،خیابان ایران زمین،مرکز تجاری گلستان،طبقه همکف شماره115,02188088181,10-23,2,8.6
naser,بستنی ناصر,پاسداران، بالاتر از نوبنیاد، روبروی نارنجستان یکم,02122802820,16-24,1,8.9
belin,ب لین,خیابان کریمخان، خیابان ایرانشهر، پایینتر از پارک هنرمندان، کوچه دهقانی، پلاک 4,02186072385,8-23,1,8.0
melody,ملودی,سهروردی شمالی، بعد از مطهری، کوچه باغ,02188743656,8:30-23:30,2,8.2
nescocafe,نسکو,خیابان آزادی، خیابان استاد معین، مجموعه معین مال، طبقه دوم، واحد 213,02166077081,9:30-23,2,8.4
robertocafe,روبرتو,پاسداران، بوستان دوم، پلاک 4,02126701830,8-23,2,9.0
gozar,گذر,کریم‌خان، ابتدای ایرانشهر، پلاک ۲۳۹,021,7-22,1,7.5
dodo,دودو,فلکه دوم صادقیه، برج گلدیس، طبقه اول، واحد 58,02144289267,10-22 و جمعه ها 16-22,2,5.8
in,null,null,null,null,null,null
sepanj,سپنج,یوسف آباد، نبش خیابان 63، پلاک 2/483,02188060975,8-23:30,1,8.5
lamiz-enghelab,لمیز (انقلاب),میدان انقلاب،ابتدای کارگر شمالی،پلاک 1012,02166128225,7-23,1,8.0
lamiz-mirdamad,لمیز (میرداماد),خیابان میرداماد، پاساژ رز، جنب مترو، طبقه همکف,02126401507,8-11,1,8.6
lamiz-tajrish,لمیز (تجریش),میدان تجریش، ابتدای خیابان ملکی (سعد آباد)، پلاک 6,02122708061,7-24,1,8.9
shano,شانو,شریعتی، روبه روی مترو قلهک، ساختمان آ س پ، طبقه همکف,02122007220,7-23,2,6.9
samcoffee2,سام کافه (ونک),تقاطع خیابان خدامی و آفتاب، ضلع جنوب شرقی، جنب پارک، ساختمان مادیران,02186092106,8-23,2,8.1
sousheh,سوشه,میدان ونک، خیابان خدامی، خیابان آفتاب، پلاک 15,02188621517,8:30-24,1,null
un,آن,میدان ولیعصر، جنب سینما قدس، انتهای کوچه مینو، ساختمان 105، طبقه همکاف، واحد 3,02188852309,9-23:30,2,7.5
hookagi,هوکاجی,خيابان پاسداران.خيابان بوستان دوم.نبش فرخي يزدي.پلاك 28.طبقه اول,02122886542,11:30-23:30,2,7.2
cafeeskan,اسکان الوند(شار),میدان آرژانتین-خیابان الوند-کوچه اسفراین-نبش اهورامزدا-هتل اسکان الوند,02142760,8-24,1,7.3
nando,ناندو,اقدسیه ،اتوبان ارتش ، بلوار سوهانک، ورودی شرقی برج های تجاری مسکونی آتیساز 2 ، برج مریم ، واحد 7 تجاری,02122446312,11-24,2,7.5
sadafmirdamad,صدف(میرداماد),خیابان میرداماد-نرسیده به میدان مادر-جنب بانک صادرات-پلاک 102-نیم طبقه اول,02122915960,11-21,2,8.5
panjere,پنجره,بلوار کشاورز ، خیابان ۱۶ آذر ، روبروی در ورودی دانشگاه تهران،  پلاک ۵۲,02166978677,7-23,2,7.8
khas,خاص,دارآباد،انتهای خیابان محبی، پلاک 30,02126152881,8-24,2,6.7
samcofe,سام کافه (سام سنتر),خیابان فرشته.مرکز خرید سام سنتر، طبقه دوم,02122653842,9-22,2,8.2
cofenaderi,کافه نادری,خیابان جمهوری ، بین سی تیر و چهارراه استامبول ، پلاک 524 و 520,02166720791,10-19,2,7.8
