,Persian Name,Address,Phone Number,Is Open,Price_Class,Rate
bernice,برنیس,بلوار آیت اله خامنه ای ، روبروی هتل مرمر ، مجتمع نیایش ، جنب درب ورودی مجمتع,33991012,8-24,2,6.7
bamland_diako,بام لند دیاکو,بلوار اسد آبادی، مجتمع تجاری دیاکو,02833575753,12-24,2,8.1
diocafe-qazvin,دیو,میدان جانبازان ب سمت نوروزیان انتهای خروجی پل مطهری ب نوروزیان,10,12-24,1,8.1
nozhacafe-qazvin,نوژا,خیابان فردوسی ، بالاتر از میدان عدل، جنب کوچه شهاب,33348874,10-23,2,8.1
sheed-cafe-qazvin,شید,پونک انتهای بلوار نخبگان نرسیده به مصیب مرادی جنب فهیم هشتم,09358559363,10-24,2,null
ersie-qazvin,عینک ارثیه,سعدالسلطنه ، سراي قيصريه ، حجره ٤٦,09365047376,9:30-22,2,8.3
karoma-cafe-qazvin,کاروما,فردوسی شمالی ، مرکز خرید نارون ، واحد  44,33368201,9-23:30,2,7.9
negarossaltaneh-qazvin,نگار السلطنه,خیابان امام ، کاروانسرای سعدالسلطنه ، بازار وزیر ، حجره ی سی و چهار,33247634,9-23,2,9.6
