Name,Persian Name,Address,Phone Number,Is Open,Price_Class,Rate
kavich_andarzgu,کاویچ,اندرزگو،بعد از کاوه به سمت شرق,09125062720,null,2,null
cafe_burka,بورکا,یوسف آباد،جهان آرا ، بین کوچه ۱۶ و ۱۸,02188028851,8:30-23:30,2,null
vania_pastry_cafe,وانیا,خیابان‌شریعتی‌،خیابان‌ملک‌،پلاک‌۲۵,02188430913,9-23,2,null
karno_food,کارنو,سعادت آباد؛خیابان سرو غربی؛خیابان بخشایش خیابان نوزده شمالی؛برج عرفان؛طبقه همکف,02172487,11:30-24,2,null
interni,اینترنی (ولنجک),ولنجک‌، خیابان چهاردهم‌، پاساژ توچال‌، طبقه اول,09905776910,12-24,2,5.7
ketab_niyavaran,کتاب (نیاوران),خیابان باهنر،مجموعه کتاب نیاوران,02122285969,null,2,null
sambisam,سم بی سم,نیاوران،بعد از سه راه یاسر به سمت تجریش،عمارت سین هشتم،پلاک۳۱۱,02126854627,8:30-23,2,8.3
saraye_arghavan,سرای ارغوان,خیابان پیروزی، خیابان اول نیروی هوایی، پلاک3/2,02177401340,10:30-23,2,null
seen_college,سین (کالج),چهارراه کالج،تقاطع خیابان حافظ و انقلاب،پلاک717,02188934319,7-11:30,2,6.7
lotus_restaurant,لوتوس,خیابان باهنر، روبروی جماران، طبقه 1-,02126126906,12-24,2,null
pegaharthouse,پگاه,خیابان انقلاب،خیابان خارک،بن بست داوری پلاک ۳,09107898308,9-24,2,null
cafedaj,داج,اشرفی اصفهانی شمال.بعد از پل حکیم.مجتمع تجاری هامون.پلاک51,02144285411,8-23,2,null
nonstop_cafe,نان استاپ,ونک، میدان شیخ بهایی، مرکز خرید سئول، پلاک ۱,02188047538,9-24,2,6.7
khaneh_nafisa_saadatabad,خانه نفیسا,شهرک غرب،بلوار فرحزادی،نبش خیابان امام صادق،پلاک2,02126767504,10-22,2,null
vahebookcafe,واحه,کریمخان،خیابان ایرانشهر،کوچه نوشهر،پلاک۳,02188314971,8-23:30,2,null
cafe_clinic,کلینیک,چهارراه سرسبز،آیت شمالی،نبش زمردشرقی،پلاک 901,02177800716,8-24,2,6.7
razzaz_boutique,خانه پهلوان رزاز,خیابان  امیرکبیر، کوچه جاویدی، پلاک۳۸,02136833892,8-23,2,null
pera,پرا,خیابان فرشته، بوتیک مال ملل,02126353205,9-22:30,2,null
osho_cafe,اُشو,میدان تجریش ابتدای خیابان ولیعصر جنب بانک کشاورزی,09351138068,10-24,2,null
tehrooncafe_iranshahr,طهرون (ایرانشهر),ایرانشهر، نبش خیابان یگانه,02188315233,8-24,2,null
hozekashi,حوض کاشی,خیابان ایرانشهر، خیابان بهشهر، پلاک ۹,02188491389,9-24,2,null
sinaancafe,سینان,گیشا ، انتهای خیابان پیروزی شرقی ، ضلع شمالی بوستان گفتگو ، مجموعه پذیرایی گفتگو,02188230930,9:30-23:30,2,2.4
redcafe_takeaway,رد (بال تی),شهرک غرب، بلوار دادمان، خیابان درختی، انتهای بلوار سپهر، کنارگذر یادگار، پلاک ۲۰۸/۱,9017554083,11-23,2,null
coferesturan_theone,د وان (سعادت آباد),سعادت آباد، پایین تر از میدان کاج، کوچه حق طلب غربی، پلاک130 طبقه دوم,02188581309,13-24,2,null
cafelanti,لانتی,"‎نياوران, ميدان نياوران پلاك ١٢",02122288140,12-24,2,null
