Name,Persian Name,Address,Phone Number,Is Open,Price_Class,Rate
kincoofe,کین,فرمانیه.بلواراندرزگو.طبقه فوقانی شیرینی نیشکر، پلاک 66,02122238061,11-23,2,6.0
liv-liv,لیو وان,میدان ونک، گاندی شمالی، کوچه برادران شریفی، پلاک 57,02188888651,12-4/6-24,3,8.0
nazdikcoofe,نزدیک کتاب,خیابان کریم‌خان زند، بین ایرانشهر و ماهشهر، شماره‌ ۱۳۴، طبقه‌ اول,02188490726,10-22:30,2,8.6
anso,آنسو,خیابان نجات الهی (خیابان ویلا)،خیابان ورشو،پلاک 11،زنگ یک,02188803714,8-23,2,9.1
part,پارت کافه,اتوبان ستاري شمال،بالاتر از حكيم،پاساژ كوروش،طبقه ٥,02144971968,10-23:30,1,5.6
ascoffe,آس,ابتدای پاسداران، بعد از پل همت ، جنب دشستان سوم,02122899313,8:30-24,2,6.9
raya,رایا,خيابان كريم خان خردمند شمالي بعد از بانك تجارت پلاك ٨٩,02188309010,7-23,1,8.9
kajeh,کاژه,نارمک، چهارراه تلفن خانه، ۴۶متری نارمک، خیابان دین محمدی، پلاک ۳۲,021,11-22,2,6.3
oriant,اوریانت,خیابان مفتح.نرسیده به انقلاب,02188347810,8:30-20,2,9.3
emarat-res,عمارت (تهرانپارس),تهرانپارس ، بین فلکه دوم وتیرانداز ، نبش 162غربی  ، پلاک 134,02177738715,10-22,2,7.2
viuna-milad,ویونا (برج میلاد),بالای برج میلاد,02188620337,10-22,2,7.0
lavender,لوندر (زعفرانیه),خیابان ولیعصر، خیابان زعفرانیه، خیابان مقدس اردبیلی، نرسیده به پسیان، پلاک 27,02122176249,8-22,2,7.5
andora,آندورا,چهارراه ولیعصر خیابان برادران مظفری شمالی جنب بازار رضا پلاک77,02166950935,10-23:30,2,8.8
leoncaffee,لئون,بزرگراه کردستان، مجتمع ASP، واحد ۱۹,02188614999,7-23:30,2,7.4
viunanoor,ویونا(دریای نور),خیابان بهشتی، خیابان سرافراز، برج دریای نور,02188171977,7:30-22:30,2,8.2
langin-shahrakgharb,لانجین (شهرک غرب),شهرک غرب، بلوار دادمان، پلاک 36,02188073283,7:30-23:30,2,7.8
langingandi,لانجین (گاندی),گاندی جنوبی، بین خیابان پانزدهم و هفدهم، پلاک 53,02188877930,7:30-23:30,2,8.2
cafe-sadaf,صدف(ولیعصر),تهران، خیابان ولیعصر، بالاتر از پارک ساعی، مرکز خرید صدف، طبقه همکف واحد 19,02188774591,9-23,1,6.9
lido,لیدو,نارمک، خیابان جانبازان شرقی، کوچه مصطفوی، پلاک27,02177945526,8-24,2,7.5
vorta,کیک استدیو ورتا,خ انقلاب، بین چهارراه وصال و اسکو، پلاک 979 جنب سینما سپیده,02166475300,8-22:30,1,8.4
paradizu,پارادیزو (مطهری),خیابان مطهری،بعد از مفتح،خیابان مهرداد،پلاک 12,02188848022,9-21:30,2,8.8
doris,دوریس,پاسداران ، خیابان اخوان (بوستان دوم) ، خیابان گیلان شرقی ، بعد از شهید عراقی ، خیابان پایدارفرد ، پلاک 49,02122311693,16-23,2,2.4
shandizsoor,سور,الهیه، خیابان فرشته، خیابان بیدار، روبروی خیابان مریم غربی، پلاک2/2,02126205253,12-24,3,6.0
coffeelime,کافه لایم,خیابان فرشته، نبش کوچه شبدیز، پاساژ فرشته,02122009214,9-23:45,2,5.4
coffeesolehvanak,کافه سله (ونک),میدان ونک، خیابان خدامی، خیابان آفتاب، روبروی برج آفتاب، پلاک 11,02188620988,11-24,1,6.7
amirshokolatfarmanieh,امیر چاکلت(فرمانیه),فرمانیه،بلوار اندرزگو،نبش کوچه حسینی,02122247185,7:30-24,2,6.5
b133,سن مارکو,بلوار 35 متری قیطریه پلاک 93 جنب کوچه بشتاب,02122238108,10-24,1,9.1
b30,آلبالو سیاه,هفت تیر- مفتح شمالی روبروی پمپ بنزین پلاک 306,02188309474,9:30-9,2,6.7
