Name,Persian Name,Address,Phone Number,Is Open,Price_Class,Rate
b130,نارون,نیاوران بعد از تقاطع کامرانیه مرکز خرید نارون پلاک 7,02126103980,9-22,2,4.7
b36,سها,میدان محسنی خیابان بهروز برج بیژن طبقه اول,02122272205,9-21:30,2,6.7
b65,کنج,خیابان ولیعصر بالاتر از زرتشت  نبش کوچه کامران مجتمع تجاری کامران طبقه روی همکف پلاک20,02188949572,10-22,2,5.4
b6,الیزه,خدامی برج آفتاب طبقه زیرین کافه الیزا,02188607531,10-23,2,null
spidgah,سپیدگاه,خیابان کریمخان، خیابان خردمند جنوبی، پلاک ۵۴,02188832127,9-23,2,6.7
loupato,لوپتو (یاسمن),خیابان ملاصدرا، شیخ بهایی شمالی، برج صبا,02188054380,11-23,3,8.1
b19,زیپو,خیابان وليعصر ، رو به روي پارك ملت ،  نبش خیابان انصاري ، برج ملت ، طبقه اول ، واحد 72,02122658371,11-23,2,6.7
paeez98shahrara,پائیز 98,خیابان شهرآرا، روبروی گذرنامه ،  پاساژ نسترن ، طبقه دوم ، واحد 13,02166511036,9-23,2,7.2
b60,امید,تجریش ، سه راه نیاوران، خیابان شهید کبیری ،  بعد از آتش نشانی پلاک 80,02122738506,11-24,1,8.0
b34,شونیز,میدان آرژانتین اول خیابان احمد قیصر- پلاک 58,02188553832,9-24,2,5.3
saghdoosh,ساقدوش,پاسداران انتهای بوستان دوم شهید اخوان خیابان ساقدوش جنب تالار ساقدوش,02122978274,12-23,2,7.4
first_cup_cafe,فنجان اول,ميدان ونك ، ابتداى خیابان ونك، پاساژ ونك ، شماره ١١,02188791535,10-21,2,5.3
b109,طلائی,میدان تجریش خیابان جلالوند پ 6,02122717877,10-24,2,null
spu,اس پی یو,درکه، میدان درکه,02122419494,11-3:45-7-11:59,3,8.3
b21,یاشل,ولیعصر، بالاتر از اتوبان نیایش ،ک انصاری،برج ملت،ط همکف,02122016523,9-23,2,7.6
selin,سلین,ميدان هفت تير ، خيابان قائم مقام فراهاني ، بعد از سه راه مشاهير ، پلاک ۴۶,02188824017,9-23,2,5.8
b23,میتا کیش,اشرفی اصفهانی- مجتمع تیراژه - طبقه همکف,02144491502,10-23,2,6.7
pesto,پستو,گیشا، نرسیده به کوچه دوم جنب موسسه زبان پارسایان,02188261409,10-24,2,7.3
pop,پاپ,خیابان شریعتی بالاتر از ظفر، جنب بیمارستان ایران مهر,02122610670,10-23,2,6.6
lamizvaliasr,لمیز(ولیعصر),خیابان ولیعصر، بالاتر از چهارراه ولیعصر سمت راست، شماره 1435,02166462205,7-23,2,8.6
icafe,آی کافه (iCafe),میرداماد، متروی میرداماد، رز میرداماد، طبقه دوم,02126404521,7-22,2,8.0
