,Persian Name,Address,Phone Number,Is Open,Price_Class,Rate
cafechi_qom,کافه چی,نبش میدان صفاییه,02537840019,10-24,2,8.2
firoozeh,فیروزه,سالاریه،میدان میثم،خیابان یاسمن،پلاک ۳۱۴,02532944404,8:30-24,2,5.8
lamiz-qom,لمیز,کیلومتر 5 اتوبان قم-تهران، گردش سرای مهر و ماه,22721469,9-24,2,8.0
chamedoon-qom,متاسفانه خطایی رخ داده است. در صورت تکرار لطفا از طریق صفحه تماس با ما مشکل را گزارش کنید,null,null,null,0,null
barancafe-qom,باران,ابتداي ٤٥ متري صدوق ميدان مفتح,32615896,9-24,2,8.4
barooncafe-qom,بارون,خيابان صدوق ،  بلوار بوعلي ، ميدان شهيد دستغيب,32931513,7:30-24,2,8.7
zhihat-qom,ژیهات,سالاريه ، خيابان ژاله ، پلاک ژاله,32401378,8:30-24,2,6.8
javvafe-qom,ژاو,٤٥ متري صدوق ، ٢٠ متري كوكب,32401336,9-24,2,6.2
bahmancafe-qom,بهمن,45 متری صدوق، ابتدای خیابان حافظ، میدان میرقیصری,32910897,9:30-23:45,2,8.1
