Name,Persian Name,Address,Phone Number,Is Open,Price_Class,Rate
icecream-reza,بستنی رضا,خیابان یوسف آباد ، نبش خیابان ۶۲ ، پلاک ۴۵۰,02188055315,9:30-24,2,7.3
hessekhob,حس خوب,شهران جنوبی ، کوچه پنجم شرقی(کوچه فرهنگسرای معرفت)، شماره 33,02144309965,9-23,2,6.1
lavan,لاون,تهرانپارس، بین فلکه دوم و سوم، پلاک ۲۶۰,02177746096,8:30-23:45,2,8.5
lalrservice,لاله سرویس,تقاطع بزرگراه شهید چمران و خیابان ولیعصر (عج). هتل بین المللی پارسیان استقلال,02122660011,null,3,5.2
container,کانتینر (دیباجی),فرمانیه،دیباجی شمالی،پلاک ۱۱،۱۳,02126111140,7-24,2,8.7
mahour2,ماهور,خیابان کریمخان،خیابان ایرانشهر،خیابان آذرشهر،پلاک28,02188323056,10-24,2,4.1
saya,سایا,انقلاب، خیابان دانشگاه، پاساژ دانشگاه، طبقه زیر همکف,02166492290,10-22,2,6.1
medico,مدیکو,خیابان ولیعصر ، نرسیده به توانیر ، نبش کوچه بخشندگار ساختمان مدیکو,02186081279,8-24,2,null
vivacaffe,ویوا کافه,سهروردى شمالى خيابان توپچى ويواكافه شماره 13,02188765858,8-23:30,2,6.7
bam,بام,مترونواب پنت هاووس برج گردون کافه بام ساختمان جنوبی ط 9 واحد 902,02166385145,9-24,2,8.2
linette,لینت,خیابان قائم مقام، خیابان جم، پلاک ۴,02188832727,9-20,2,7.7
melange,ملانژ,سهروردی شمالی، خرمشهر(آپادانا) ، عشقیار(نیلوفر) ، پلاک 65,021,7-24,1,7.6
arme,آرمه,خيابان وليعصر ، روبروي پارك ملت ، بلوار ناهيد غربي، پلاک 103/1,02126290691,8-24,1,7.4
coffehe-gisha,کافه ه (گیشا),گیشا، کوی نصر، بین خیابان 13و15، مرکزخرید فرتاک طبقه زیر همکف,02188287845,9:30-24,2,5.8
ovan,اُوان,همت غرب، سردار جنگل، كوچه حيدرى مقدم شرقى، برج جام جم همت، واحد٣٣,02144624228,9:30-23,2,8.2
emaratshahkar,عمارت شاهکار,خیابان پیروزی ، روبروی پرستار ، پلاک 225,021,12-24,2,8.4
