Name,Persian Name,Address,Phone Number,Is Open,Price_Class,Rate
cheraghan,چراغان,دریاچه چیتگر، بام لند،بلوک vip,02140447394,12-24,3,7.5
illycaffe,ایلی (باملند),مجموعه تجاری باملند بلوک آ,02140447994,11-23,2,7.6
libro,لیبرو (پالادیوم),زعفرانیه،مقدس اردبیلی،نرسیده به میدان الف،مرکز خرید پالادیوم،طبقه ۳,02122660401,9-23,2,7.4
downtism,دانتیسم,میدان المپیک،انتهای خیابان هوانیرو،میدان صدف،انتهای خیابان صدف،پلاک3,09109432487,9-21,2,7.0
zofa,زوفا,اتوبان حقانی، بعد از کتابخانه ملی جنب روگذر شهید همت غرب هتل بزرگ ارم,02122266644,11-24,2,7.0
bonelli,بونلی,مرزداران،بين سپهر وآريا فر،ساختمان ديپلمات,02144266030,11:30-23:30,2,8.8
delnavazan_sohrevardi,دلنوازان (سهروردی),خیابان سهروردی شمالی، مابین عباس آباد و هویزه پلاک 553,02186031908,11-23,2,6.3
morocco,موروکو,یادگار جنوب، قبل از خروجی فرحزاد، ایثارگران شمالی، خیابان امامزاده، البرز 6، پلاک 13,02122148851,11-23,2,8.4
shandiz_aayani,شاندیز اعیانی,دارآباد،خیابان پور ابتهاج شرقی،انتهای کوچه نارنج,02126127835,11-24,3,6.2
micmac,میک مک,مجيديه شمالي،خيابان استادحسن بنا،خيابان جعفري پلاك ٦٦,02122534920,11-24,2,6.9
creme,کرم (فودکورت رویال تراس),بلوار سعادت آباد، تقاطع بلوار دریا مجتمع تجاری اداری رویال,02188564945,11-24,3,7.7
mansour_tehranpars,منصور (تهرانپارس),تهرانپارس، فلکه اول، ضلع شمال شرقی، پلاک 39,02177878247,10-24,2,7.2
mamali_juicebar,شیرپسته مملی,خیابان باهنر روبه روی خیابان منایی,null,10-24,2,7.9
palizi,پالیزی,سهروردی شمالی، میدان قندی، پالیزی، پلاک ۷۲۷,02188763260,8-24,2,8.7
babarahim,بابا رحیم,خیابان ستارخان نرسیده به خیابان باقرخان نبش کوچه شادی پلاک 105,02166940068,9-23,2,9.0
wish,ویش,میدان انقلاب،خیابان انقلاب،خیابان قدس،نبش خیابان بزرگمهر،حیاط شهرکتاب دانشگاه,9201365715,10-23:30,2,8.8
iranshahrgallery,گالری ایرانشهر,خیابان ایرانشهر، پارک هنرمندان، ضلع شرقی خانه هنرمندان ایران، تماشاخانه ایرانشهر، طبقه دوم,02188349365,10-23,2,6.7
maana,فرهنگ و هنر مانا,بلوار کشاورز، خیابان وصال، کوچه شاهد، پلاک 6,02188996273,8:30-22,2,9.1
riader,رایدر,شهرک غرب،خیابان مهستان،خیابان ایران زمین، مرکز تجاری مهستان،داخل پاساژ طبقه همکف,02186128421,11:30-23:30,2,7.4
serayala,سرای علا,فرمانيه، روبروى بيمارستان فرمانيه، مركز خريد بام برند سنتر، طبقه دوم,02140226080,12-24,2,8.4
75,75,میدان محسنی،خیابان شاه نظری، کوچه دوم، پاركينگ مجتمع راز,02122256876,9-23,2,6.0
colonel,کلنل,خیابان شریعتی ، نرسیده به پل سید خندان ، کوچه مهاجر,9197175267,7:30-23:30,2,7.9
godo_yas,گودو یاس,خیابان نجات الهی، خیابان محمدی، بن بست گل یاس,02188942573,8:30-24,2,8.1
naghsh_vesal,نقش وصال,بلوار کشاورز، خیابان وصال شیرازی، روبروی بیمارستان آریا، نبش کوچه شاهد، پ ۷۰۷۰,02188963578,8:30-23,2,7.7
siro,سیرو,خيابان سهروردي،خيابان خرمشهر،خيابان قنبرزاده،كوچه ١٦ام,02188501510,12-24,2,7.2
namecafe,نام (ولی عصر),شعبه ولی‌عصر:خ ولی‌عصر بالاتر از چهار‌راه زرتشت،نبش ک جاوید پ۱۸۵۷,02188922948,7:30-23:30,2,8.4
sincere,سینسیر,الهیه،خیابان آقابزرگی،خیابان صحرا،خیابان پارسا،برج افرا,02122391706,11-23:30,3,7.7
house_bread,خانه نان,پل پارک وی،ابتدای کوچه نوری,02122667752,6:30-22:30,2,7.4
fareen,فرین,سعادت آباد ، میدان کاج ، ابتدای خیابان نهم,02122139056,7-24,3,7.3
sitandgo,سیت اند گو,خیابان دزاشیب، خیابان علیرضا افشار، پلاک ۱۰,02122397828,9-24,2,6.2
muguet,موگه,شهر ری . سه راه ورامین . نرسیده به میدان معلم . پاساژ الماس ری . ط اول واحد 102,09306104440,10-22,1,7.0
cafekobar,کوبار,اشرفی اصفهانی جنوب به شمال، نرسیده به پل همت، خیابان قموشی، پلاک 57,09355444943,8/23,2,4.4
raees_palladium,رئیس (پالادیوم),زعفرانیه،خیابان مقدس اردبیلی،مرکز خرید پالادیوم،طبقهGB,02122663678,8-23:30,2,8.5
secondcup,سکند کاپ,ولنجک، انتهای خیابان سیزدهم شرقی ، پلاک 5 ، طبقه اول ، واحد 109,02126804403,8:30-23,2,7.4
music_vist,ویست موزیک,ابتدای رسالت شرق،نرسیده به خیابان دبستان (کابلی) ،کوچه باقری ، پلاک 1 ، طبقه اول,02188456165,9-24,2,8.7
sun_star,سان استار,بالاتر از چهار راه پاسداران،نبش بهستان 4 چهارم,02122222,11-23:30,2,7.0
