,Persian Name,Address,Phone Number,Is Open,Price_Class,Rate
gravity,گرویتی,"سعادت آباد,بین میدان کاج و‌میدان فرهنگ،روبروی بیمارستان پارسیان",02122066170,12-24,2,6.7
cafe_ashkboos,اشکبوس,خیابان فرمانیه غربی(لواسانی غربی)،جنب شیرینی فروشی فرمانیه، پلاک ۱۲۱,02122722745,8:30-24,2,8.1
cafe_puzzle,پازل,خیابان فاطمی،روبروی هتل لاله,02188997114,8:30-23:30,2,null
rolexlounge,رولکس لانژ,آجودانیه،مجتمع  تجاری عرش,09395408127,12-24,3,null
celato,کلاتو,پاسداران نبش بهستان ۷ پلاک۴۱۸,02122785249,12-24,2,3.8
chakmozniavaran,چک موز,نیاوران بعد از سه راه یاسر نرسیده به مژده پلاک ۳۲۰,09102003134,12-24,2,null
adora,آدورا,اندرزگو، خیابان سلیمی شمالی,02122680036,12-24,3,null
karzin_mehrabad,کارزین (فرودگاه مهرآباد),فرودگاه مهرآباد،ترمینال ۲,02144675066,,2,null
kurehcafeandworkshop,کارگاه سفالگری کوره,شهرک غرب،مجتمع تجاری پلاتین،طبقه منفی یک،جنب هایپرمی,02186090174,8:30-23,2,null
karzin_enghelab,کارزین (باشگاه انقلاب),مجموعه فرهنگی ورزشی انقلاب،کلوپ صخره‌نوردی,02126216377,8-23,2,null
karzin_niavaran,کارزین (نیاوران),مجموعه فرهنگی تاریخی کاخ نیاوران,09046318440,8-22:30,2,6.7
karzin_gharb,کارزین (شهرک غرب),شهرک غرب ،ایران زمین،باغ راه فدک,09046313850,8-23,2,null
cafeclover,کلاور,خردمند شمالی،نبش کوچه سهیلی،پلاک ۱۱۱/۱,02186071182,12-23,2,8.1
gamerepublic,گیم ریپابلیک,سعادت آباد ، بالاتر از میدان کاج ، خیابان دوم (عبقری) ، داخل پارک شقایق ، ساختمان آجری,02122367630,10-20,2,null
adacafe,آدا لانژ,ولنجک،توچال,,10-24,2,null
beliton,بلیتون,نیاوران ، خیابان پور ابتهاج ، نبش خداوردی ، مجتمع لیدو ، طبقه R1,02126470396,17-23,3,3.8
rabocaf,رابو,شهرک غرب، بلوار دریا، بیست و یک متری گلها، نبش توحید پنجم,02188082597,12-23,2,null
vario,واریو,تهرانپارس،خیابان دماوند، نبش خیابان مهرنامی، پلاک ۲۸۷/۱,02177732149,12-24,2,null
vibecafevip,وایب,دیباجی جنوبی، کوچه بختیاری، پلاک ۲۱,02122546562,10-19,2,6.7
