,Persian Name,Address,Phone Number,Is Open,Price_Class,Rate
armenia_cafe,آرمن یا,مطهری،نرسیده به سهروردی،خیابان اورامان،نبش کوچه گروس,02188311142,8-23,2,6.8
vadood,ودود,میدان هروی، میدان ملت، خیابان ریحانی(محمدی)، روبرو بانک پاسارگاد,02122334700,10-24,2,null
direct,دایرکت,فلکه دوم صادقیه، بلوار گلاب ، جنب پارک شهروند,02144381000,12-24,2,6.7
rozhda,روژدا,میدان شیخ بهایی، مرکز خرید سئول ، واحد ۵۶ و ۵۷,02188049681,12:30-16 19-23,2,null
rosemilo,رزمیلو,بلوار ارتش شرق، مجتمع خرید پرنیان،طبقه هفتم,02122494643,12-24,2,5.5
chalet,چلت,بالاتر از فلکه سوم شهران، .ورودی۲کوهسار.، فودکورت ویولند,91090317,11-24,2,5.3
ghoghnos,کتاب ققنوس,خیابان انقلاب ،خیابان وصال،کوچه شفیعی،پلاک ۱,02166403386,10:30-23,2,7.8
westeak,وستیک,سعادت آباد،مجتمع تجاری اپال،طبقه دهم,02122389049,12-23,2,6.8
donutto_pasdaran,دوناتو (پاسداران),پاسداران،دروس،خیابان هاتف اصفهانی،نبش کوچه جواهری ،پلاک ۷,02122564738,10-23,2,null
pizza_pala,پالا,خیابان نیاوران، روبروی جماران، جنب بانک پاسارگاد، پلاک ۱۶۲,02122834012,8-24,2,8.1
zaban_ghandi,زبان کلامستان,میدان پالیزی ، ابتدای خیابان قندی، نبش دوم ، پلاک 21 زیرزمین,02188533413,10-23,2,6.7
haft_aseman2,هفت آسمان,سعادت آباد،خیابان دریا،نبش مطهری جنوبی,02188564018,11-24,2,8.2
emarategowd,عمارت گود,خیابان سمیه، خیابان موسوی نرسیده به ایرانشهر، خیابا فرصت،پلاک ۳۱,02188827280,12-24,2,7.9
el_soldado,ال سولدادو,خیابان شیراز جنوبی، خیابان علیخانی غربی، مجتمع ونک پارک، برج الوند، بال غربی، واحد ۲۹,09125654731,8-24,2,5.2
record,رکورد,شهرک غرب،فاز۱،خیابان ایران زمین،مرکز خرید گلستان،حیاط شرقی پلاک ۲۶,02188573317,10-23,2,null
sofre_gallery_goharaneh,سفره گالری گوهرانه,پانزده خرداد،بازارچه تاريخي عودلاجان,02133922495,8:30-17,2,null
ricotta,ریکوتا,سعادت آباد،بلوار دریا،خیابان رامشه،نبش توحید یکم,02188094633,7-23,2,null
saliztehranpars,سالیز (فلکه دوم تهرانپارس),فلکه د.م تهرانپارس، پاساژ  پارسیان، بالکن سمت راست,02177763411,11-23,2,null
saliz_farjam,سالیز (فرجام),تهرانپارس ، فرجام ، نبش عادل جنوبی,02177763411,7-23,2,null
sevda_atana,سودا (هتل آتانا),میدان فلسطین، ابتدای خیابان طالقانی غربی،پلاک 401 هتل آتانا,02141912,8-24,2,8.1
sorrisoicecream,سریزو,شریعتی، روبه رو حسینیه ارشاد، نبش بن بست هدیه,02122925762,8-22,2,6.3
moncheri,مون چری,شهرک غرب، بلوار دادمان، خیابان فخار مقدم ، نبش گلبرگ 2 غربی,02188370725,8:30-24,2,7.5
doberaa_pasdaran,دوبرا (پاسداران),پاسداران،خيابان داوود اسلامي،بين گلستان دوم و سوم,02122797549,12-24,2,7.0
casa_delchef,کاسا دل,فلکه اول تهرانپارس، امیری طائمه، پلاک 20،ط 1,02177736003,9-23:30,2,8.2
zarafe_tehranpars,زرافه (تهرانپارس),تهرانپارس شرقی ، میدان رهبر ، ابتدای خیابان زهدی ، کوچه روشن شرقی,02177964767,8:30-23,2,null
mani_gisha,مانی (گیشا),گیشا ، بین خیابان 10 و 12 ، پلاک 13,02188272823,11-24,2,null
shahriyar_shariati,شهریار,خیابان شریعتی ،خیابان شهید قندی، پارک اندیشه ، فرهنگسرای اندیشه,02186043927,10:30-23,2,6.0
dice,دایس,پل کریمخان،ابتدای میرزای شیرازی،نبش کوچه یکم ،پلاک 3/2,02188842538,8-23,2,7.5
mingoo,مینگو,میدان انقلاب اسلامی، خیابان کارگر شمالی، بالاتر از خیابان نصرت,02166563877,11-23,2,null
ketabrangi,کتاب رنگی,بلوار کشاورز، خیابان 16 آذر ،بن بست پارسی ،پلاک 6,02166976042,8-23,2,8.2
emarat_atlasi,عمارت اطلسی,میدان فلسطین،خیابان طالقانی غرب،خیابان سرپرست جنوبی،کوچه پارس,02166975237,8-22,2,7.7
gol_hakimieh,گل,حکیمیه، خیابان چمن آرا، روبرو در شمالی دانشگاه آزاد، گلخانه آیت,09125150690,9-23,2,6.7
boshkeh_satari,بشکه (ستاری),اتوبان ستاری، کوروش مال، طبقه همکف واحد ۹,09357320021,11-24,2,null
parllan,پارلان,یوسف آباد، خیابان مهرام، جنب شیرینی فروشی بی بی,02188009591,9-24,2,null
iman,آی من,بلوار کشاورز، ابتدای خیابان ۱۶ آذر,02188982566,8:30-24,2,5.9
gade,گعده,خیابان طالقانی،نرسیده به خیابان قرنی،روبروی هتل اطلس،پلاک ۲۹۸,99802768,11-23:30,2,null
raimoon,رایمون,شریعتی، بعد از دولت، نبش سینما فرهنگ، بالای بانک پارسیان، پلاک 1606,02126601561,12-24,2,8.1
dast,دست,شهرك غرب،خيابان هرمزان،خيابان پيروزان جنوبي،مجمتع آموزشي نيكوكاري رعد,02188562015,10-24,2,7.4
parseh_enghelab,پرسه,خیابان انقلاب، صبای جنوبی، نبش کوچه سرمد,02166493623,9:30-23,2,8.1
sezelei,سه ضلعی,خیابان انقلاب، خیابان فلسطین، کوچه پشن، پلاک ۱۵,02166959918,10-23,2,6.7
segah,سه گاه,میدان انقلاب، کارگرشمالی، بعد از چهار‌راه نصرت، نبش بن‌بست مهناز,9358509236,11-23,2,8.4
gilardino,جیلاردینو,پونک،مجتمع تجاری بوستان،درب اصلی،راه پله ی سمت راست،طبقه2,0214449205,10-24,2,6.2
godar_enghelab,گدار,انقلاب، خیابان قدس، خیابان پورسینا، نبش کوچه جلالی,0214469,9-20:30,2,6.9
aroma_beheshti,آروما (بهشتی),انتهای خیابان شهید بهشتی، بعد از تقاطع قایم مقام فرهانی، هتل آروما,09372293610,9-24,2,8.4
forogh_enghelab,فروغ (انقلاب),خیابان انقلاب، بین چهار راه ولیعصر و پل کالج، روبروی خیابان خارک، پلاک 793,02166407186,8-23,2,7.5
chobik,چوبیک (عرش آجودانیه),عرش آجودانیه,9125062720,11-23,2,null
3tkarimkhan,3 تی (کریمخان),کریمخان، خیابان آبان جنوبی، خیابان سپند، پلاک ۶۹,02186037498,11-24,2,6.7
code,کد,خیابان ایرانشهر،پایین تر از خیابان سمیه،کوچه مهزاد پلاک ۸,02188837955,9-24,2,8.2
khiabun,خیابون,خيابان سهروردي شمالي،خیابان خرمشهر،خیابان نيلوفر نبش دوم پلاك ١٢,02188171357,12-24,2,5.3
offset,افست,خيابان انقلاب،نرسيده بين چهارراه وليعصر و پل كالج جنب رخت ايراني بته جقه پلاك ٩٧٤,02166700666,9:30-23:30,2,6.9
dafineh,دفینه,دروازه شمیران، اول خ روشندلان پلاک 4,02177647478,10-23:30,2,8.1
