Name,Persian Name,Address,Phone Number,Is Open,Price_Class,Rate
dejavu_ardebili,دژاوو,مقدس اردبیلی، بین میدان الف و پسیان، پلاک 31,02122431570,9-24,2,3.9
khancafe_tehranpars,خان کافه,فلکه اول تهرانپارس،انتهای مجتمع تجاری پارس، سمت راست، پلاک 12,02177726529,8-24,2,null
ero,ایرو,اتوبان شیخ فضل‌الله غرب، بلوار چوبتراش، خیابان شهید علی حسینمردی,02144249243,8-23:30,2,8.1
fekr_daneshgah,فکر (دانشگاه),خيابان انقلاب،ابتداى خيابان دانشگاه،بن بست پورجوادى،پلاک 7,02166470012,11-23,2,7.3
chimney-dadman,چیمنی (دادمان),شهرک غرب، بلوار دادمان، خیابان بهارستان، روبروی مرکز خرید سپهر,02188580167,12-24,1,5.6
hermo_tehranpars,هرمو (تهرانپارس),تهرانپارس، بین 206 (غلامی) و 208 (ادیب)، پلاک 289,02177323987,9-24,2,5.2
sicas,سیکاس,تهرانپارس،بلوار پروین.،بین 216 و 218 شرقی،شماره 389,9123792588,7:30-24,2,2.4
bamdad1,بامداد,ولیعصر، پایین تر از چهارراه ولیعصر، پلاک۱۳۸۷,02166416802,8-22,2,6.0
viuna_kourosh,ویونا (کوروش),تهران، بزرگراه ستاری، نبش خیابان پیامبر، مجتمع کورش، طبقه 7,02144971544,11-24,2,7.0
bab_al_bahr,باب البحر,همت غرب، کاشان جنوب، دریاچه چیتگر، بام لند,02140447282,11-23,3,8.5
cluna_parkway,کلانا(پارک وی),خیابان ولیعصر، نرسیده به چهارراه پارک‌وی، پلاک ۲۶۷۸,02122667760,7-22:30,1,7.7
bamino_baqketab,بامی نو (باغ کتاب),تهران، بزرگراه حقانی، باغ کتاب,null,11-24,2,6.0
lime_golestan,لایم (گلستان),شهرك غرب،خيابان ايران زمين،پاساژ گلستان،حياط شرقى,02188362160,9-23,3,7.3
ch_cafe,چ,خیابان شهید مدنی،جنب مترو مدنی،تیراژه ۲ طبقه سوم واحد ۳۰۷,02177159967,11-24,2,7.6
kooche_moka,کوچه (موکا سابق),خیابان کریمخان،خیابان سنایی،کوچه هجدهم،پلاک ۳۸,02188301658,8-23,2,7.9
thisfun,دیسفان,خیابان کریمخان،خیابان عضدی جنوبی ،جنب رستوران نایب، طبقه همکف,02188805161,7-24,2,7.7
cam_cafe,کام,یوسف آباد، نبش یکم، پلاک ۳ طبقه روی همکف,02188989615,8-23,2,6.7
benitacafe_plus,بنیتا پلاس,شهرک غرب ، بلواردریا ، نرسیده به چهارراه مسجد ، خیابان رامشه ، کوچه مهرداد ، پلاک 117,02188366969,12-24,2,7.4
johaina,جحینا,فلكه دوم صادقيه،ابتداي كاشاني،بوستان يكم،نبش گلستان يكم,02144070101,12-24,2,7.3
clunavanak2,کلانا ونک ۲,میدان ونک، ضلع جنوب غربی میدان، پلاک ۱۴,02188771024,7-21,2,7.9
lamiz_pasdaran,لمیز (پاسداران),پاسداران،روبروی بوستان نهم پلاک288,02122577758,7-23:30,2,7.9
lumiere,لومیر,مرزداران، خیابان ابراهيمى، داخل كوچه الوند ١٣، راهروى شمالى برج الوند، شماره ٥,021,8-24,1,7.8
love_ice_cream,محبت,جنت آباد شمالی،بالاتر از نیایش،بین بهارستان ۱۳و ۱۵,09124388267,10-24,2,8.3
dopiano,دوپیانو,‎پاسداران،بین بهستان ٥ و بهستان۶,02122774990,11-24,2,7.0
amirchocolate_saadatabad,امیرشکلات (سعادت آباد),سعادت اباد-بالاتر از ميدان كاج-روبروى بيمارستان مدرس,02122080574,10-24,2,6.3
downtown_planet,دان تان پلنت,جردن،بعدازچهارراه اسفندیار،نبش کوجه ایرج،پلاک 117,02122014969,8-23:45,3,8.7
koolak1,کولاک,يوسف آباد،خيابان شهيد جهان آرا،نبش كوچه ٤٣,02188610384,11-23,2,8.3
sakura,ساکورا (فود مارکت آوا ستنر),خیابان پاسداران، خیابان موحد دانش (اقدسیه)، جنب سفارت چین,02126122426,10-23:30,2,8.1
