Name,Persian Name,Address,Phone Number,Is Open,Price_Class,Rate
house1307,خانه 1307,خیابان سمیه ، نرسیده به خیابان حافظ ، خیابان پورموسی ، بن بست شیرین ، پلاک 21,02188807434,9-22:30,2,6.9
viuna_paladiom,ویونا (پالادیوم),زعفرانیه-مجتمع پالادیوم-طبقه همکف,02122668781,11-24,2,7.2
lavenderfarmaniye,لوندر (فرمانیه),فرمانیه، ابتدای دیباجی شمالی,02126149830,7:30-22:30,2,8.1
shahrzad2,تئاتر شهرزاد,خیابان حافظ ، نوفل لوشاتو پلاک ۷۴,02166763569,10-23,2,6.8
tezburrger,تز برگر,خیابان جمهوری، خیابان باغ سپهسالار(خیابان صف)، کوچه بخارا،پلاک 2/2,02133979717,9-22,1,8.1
denja,دنجا,زعفرانیه ، مقدس اردبیلی ، مرکز خرید پالادیوم ، طبقه3,09128589383,9-23,2,7.9
chimney_niavaran,چیمنی (نیاوران),خیابان نیاوران، بعد از سه راه یاسر به سمت تجریش، بعد از خیابان همایون فر ، پلاک ۳۲۴,02122396391,9-23:30,2,5.8
mito_arg,میتو جلاتو,نیاوران،خیابان باهنر،پایین تر از سخ راه یاسر به سمت تجریش پلاک ۳۱۸,02122749801,11-24,2,8.6
nesen,نسن,اشرفی اصفهانی،خیابان پیامبرشرقی،بعد از حاجی زاده پلاک ۲۳,02144050408,12-23:30,2,9.3
bookalounge,بوکالانج,نياوران ، انتهاي خيابان مقدسي ، خيابان عرفاني ، خيابان همايون ، كوچه مريم ، كوچه صادقي ، انتهاي كوچه پلاك ٤٨,02122751198,12-24,2,null
simoni_pirozi,سیمونی,پیروزی،بلوار ابوذر،پل پنجم،خیابان ده حقی،نبش میدان مالک اشتر،جنب کافه فیروزه،پلاک ۴۲۶,02133682245,12-23:30,2,7.3
sweet_dream,رویای شیرین,خیابان یوسف آباد ، انتهای خیابان جهان آرا ، نبش کوچه اسماعیلی (۵۵),02188615792,9-24,2,8.2
rocco_cafe_arg,روکو (فودکورت ارگ),میدان تجریش،خیابان سعدآباد،مجتمع ارگ،طبقه1+,02122396583,9:30-23,2,7.0
baharbeheshti,بهار,خيايان شهيد دكتر بهشتي، خيابان پاكستان، طبقه٤ مجتمع آموزش عالي بهار,02188730184,16-19,2,6.7
tetoo,تتو,بلوار فردوس شرق،وفا اذر جنوبي،مجتمع ايريك ، طبقه ٦,0214404445,8-24,2,7.6
donutto,دوناتو,نیاوران خیابان مژده ، خیابان میری، خیابان عرفانی، پلاک ۱۷,09335220199,10-22,2,6.2
un_valiasr,آن (میدان ولیعصر),میدان ولیعصر، جنب سینما قدس، انتهای کوچه مینو، ساختمان 105، طبقه همکاف، واحد 3,02188852309,8:30-23:30,2,6.2
zhira,ژیرا,خیابان بهشتی،نرسیده به خیابان سهروردی، پلاک ۱۳۰،طبقه دوم,02188459396,11-24,2,5.1
leto,لتو,خيابان بهار شمالي،خيابان وركش،پلاک17/4,02188495426,8-24,2,7.0
florian,فلورین (ارگ),میدان تجریش خیابان سعدآباد، روف گاردن مجتمع ارگ تجریش،طبقه4,02122396758,9-23:30,2,7.3
dorreh,دُره,سعادت آباد،خیابان سرو غربی،خیابان بخشایش،کوچه هفدهم،برج عرفان،پلاک۵۴,02122061787,8-24,2,5.5
ist,ایست,خیابان ایرانشهر، خیابان آذر شهر، پلاک ۲۲ ، طبقه اول,02188823008,9-24,2,7.3
