,Persian Name,Address,Phone Number,Is Open,Price_Class,Rate
cafe_theatre,تئاتر,خیابان جمهوری،خیابان رازی،کوچه پرتویی,09126031037,10:30-22:30,2,null
cafe_greenbean,گرین بین,خیابان انقلاب بعد از میدان فردوسی،حد فاصل رامسر و موسوی کوچه اذرنوش,02188342126,9-23,2,null
pantheon_cafe_resturant,پانتون,خیابان ونک،خیابان کار و تجارت،پلاک ۳۵,02188209035,12-23:30,2,null
cafe__zehn,ذهن,ولیعصر، روبه‌روی تئاتر شهر،کوچه پشن،پلاک۱۲,02166469069,7-23:30,2,null
lorenzo_lounge,لورنزو,ولنجک ، خیابان امیر آبادی ، نبش گلستان سوم,02122434867,12-24,2,4.6
cafediamond,دایمند,خیابان نجات اللهی (ویلا) ، خیابان فلاح پور، شماره۳۳,02188890196,8-24,2,5.2
hattrick_cafe,هتریک,"یوسف آباد ، میدان سلماس ، تقاطع فتحی شقاقی و
بیستون پلاک 32",02188334818,12-24,2,null
cafe_boardica,بوردیکا,خیابان کریمخان،خیابان نجات الهی،خیاباان سپند،تقاطع قرنی،جنب هتل آرام,02186037928,,2,null
fekrkade_complex_opal,فکرکده (اُپال),سعادت آباد،بلوار کوهستان،مجتمع تجاری اُپال،طبقه4,02122386782,10:30-23,2,null
mysterybox,میستری باکس,حکیمیه،بلوار بهار،نبش زهدی،پلاک14، طبقه2,09375250154,12-24,2,null
pol_art,پل آرت,فلسطين شمالي،خيابان فيروز دهقان پلاك ٣,02188963222,12-24,2,null
moon_lightlounge,مون لایت لانژ,حکیمیه،بلوار بهار، خیابان بهشت، بهار ۱، پلاک ۳۶,,12-24,2,null
cafe_arsh,عرش,شریعتی،تقاطع طالقانی،ابتدای خواجه نصیر,09354963429,9-22:30,2,null
royalrosecafe,رویال رز,نياوران، خیابان محمودی ۳ ، پلاک ۷,09912714132,9-24,2,null
ravicafegallery,گالری راوی,اقدسیه،خیابان‌فیروزبخش،خیابان‌باستان،بعداز تقاطع اول،کوچه دستان ،پلاک۹,02126454881,9-23:30,2,null
shar_lounge,شار لانژ,میدان آرژانتین، انتهای خیابان الوند، خیابان اسفراین، نبش اهورا مزدا، طبقه آخر هتل اسکان الوند,02188878510,16-24,2,null
maya_cottage,مایا,میدان انقلاب،خیابان کارگرشمالی،نرسیده به بلوارکشاورزپلاک1555,02188963232,8-23:30,2,null
schonbrunn,شون برون,ايران مال ، جنب آبنماى موزيكال,02147673515,11-24,2,6.0
amore_cafee,آموره,خیابان فردوسي، نرسیده به میدان فردوسی، کوچه ضرابي پلاک4,02166749574,9-23,2,8.1
objet,اُبژه,بزرگراه کردستان،خیابان زاینده رود غربی، پلاک ۱ (مجتمع پارک پرنس)، طبقه همکف، واحد۱۴,02188042079,9-23,2,null
pensocafe,پنسو,بلوار کشاورز، نبش خیابان 16 آذر,02186126182,8-23,2,null
toos_cafe,توسکافه,اندرزگو،سلیمی جنوبی،نبش نعمتی،پلاک ۷۰,02122242450,8:30-24,2,null
paprika__house,خانه پاپریکا,"خیابان انقلاب، خیابان نجات‌اللهی(ویلا)
کوچه محمدی، نبش کوچه افشار، پلاک ۹",02188808871,9-22,2,6.7
marjolainegateau,مارژولن,ديباجي جنوبي، نبش كوچه رحيمي پلاك ٣,02126316300,8:30-22:30,2,null
delpiano_caferestaurant,دل پیانو,پل  پارک وی،چمران جنوب خروجی هتل اوین،خیابان شهید سوری،نرسیده به درب ورودی آتی ساز،کوچه بهزاد،پلاک20,02122381091,12-24,2,null
novel_cafe_restaurant,نوول,ابتداى لشگرى،بين بيمه ٢ و ٣،كارخانه نوآورى آزادى,09214197883,7:30-21,2,null
rion_restaurant,ریون,سعادت آباد،میدان بهرود،خیابان عابدی،نبش کوچه سی ششم پلاک ۱۷,02122112837,11-24,2,null
mahed,ماهد,شهرک غرب بلوار درختی خ حافظی نرسیده به یادگار امام پلاک١۴۵,02122383766,12-24,2,null
bluma,بلوما,خیابان ولیعصر، خیابان زعفرانیه، موزه تماشاگه زمان,02122425052,8-24,2,8.2
dam_cafe,دم,خیابان نلسون ماندلا،کوچه عاطفی شرقی، پلاک۱۸,02126208426,8-23:30,2,null
cafeviunasohrevardi,ویونا (سهروردی),خیابان سهروردی شمالی،نبش خیاابان توپچی,02188524461,9-23,2,6.7
dibacheh_mansion,عمارت دیباچه,بلوار کشاورز،خیابان نادری تقاطع ایتالیا,09309045190,9-24,2,5.8
morralounge,مورالانژ,بلوار فردوس شرق، پلاک 290,02144000050,12-24,2,7.8
monsterbastani,متاسفانه خطایی رخ داده است. در صورت تکرار لطفا از طریق صفحه تماس با ما مشکل را گزارش کنید,null,null,null,0,null
mann_book_cafe,کتاب من,اتوبان صدرشرق، خروجی منظریه خیابان‌منظریه طبقه فوقانی شهرکتاب منظریه,02122557274,9:30-21:30,2,null
zi_cafee,زی (ارتش),بزرگراه ارتش،برج های آتی ساز،برج نرگس،واحد ۶,02122491360,12-24,2,null
hug_cafe_house,هاگ,نیاوران، خیابان امیدوار، نبش کوچه پانزدهم,021261212820,10-23,2,null
theyard,یارد,مجتمع آ.اس.پ، واحد تجاری40,02188614998,9-23,2,null
cafeneshin1,نشین,خیابان انقلاب،خیابان دانشگاه،خیابان وحید نظری،پلاک٦٨,02166479180,10-22,2,null
carshow,کارشو,ایران مال،طبقه G1,,9-21,2,null
lightcafe,متاسفانه خطایی رخ داده است. در صورت تکرار لطفا از طریق صفحه تماس با ما مشکل را گزارش کنید,null,null,null,0,null
avana_cafe,آوانا,نازی آباد، بازار دوم، خیابان نیکنام شمالی،پلاک46,02155357800,11-23,2,3.8
roomeroon,روم رون,جردن، بلوار آرش غربی٫ پلاک۲۴,02188887001,12-24,2,null
zahira_lounge,زهیرا لانژ,تهرانپارس،پايين تر از فلكه اول،خيابان شهيد حسيني(بهار)،پلاك ٧١,02177727065,11-24,2,6.7
ruby,روبی,میدان نیاوران،خیابان باهنر،پلاک ۹۹,91301725,12-24,2,3.1
trend,ترند,دریاچه چیتگر، بام لند، بلوک c,02140447210,8-24,3,8.1
impresso,ایمپرسو,بالاتر از میدان نیاوران، خیابان جهانشاهی پلاک15,02122822755,7-22,2,null
nicki_lounge,نیکی لانژ,"اندرزگو, سلیمانی غربی, خیابان واعظی, روبروی خیابان طوبایی",09202193061,12-23:30,2,null
injacafe,اینجا,کریمخان،خیابان میرزای شیرازی،شماره‌ ۹۳,02188815025,9-22,2,7.4
abtin_icecream,آبتین,میدان امام حسین،نبشِ چهارراه صفا,09127438417,11-23,2,3.8
hoomaan,هومان,میرداماد، خیابان سنجابی،میدان مینا ،پلاک ۳،مجموعه شهرکتاب مینا,02122276206,9-23,2,null
