Name,Persian Name,Address,Phone Number,Is Open,Price_Class,Rate
zhavcafe-hamedan,ژاو,خیابانِ‌فرهنگ، روبروی‌ادارهٔ‌آموزش‌وپرورش,08138256201,8-23,2,6.7
moon,مون,شهرک مدنی،فازدو،سه راه آپارتمان ها،جنب باشگاه سلطان,09186115088,9-24,2,7.5
