Name,Persian Name,Address,Phone Number,Is Open,Price_Class,Rate
boote,بوته,میدان راه اهن،ابتدای شریعتی,08634021212,12-24,2,8.2
amirkhan-arak,امیرخان,سه راه ارامنه انتهای خیابان نیسانیان,null,12-24,2,8.1
tishini-arak,تی شی نی,شهر صنعتی میدان پامچال,08633139371,12-24,2,null
caracal-arak,کاراکال,خیابان دانشگاه ، روبروی دانشگاه سما,34057080,9-24,1,3.8
cinemaasrejadid-arak,سینما عصر جدید,ابتداي خيابان ملک ، سينما عصر جديد,32247444,11-23:30,1,5.2
payiz-arak,پاییز,خیابان عباس آباد، خیابان میثم (هلال احمر) ساختمان ۹۶,32228975,10:30-22:30,2,7.3
