,Persian Name,Address,Phone Number,Is Open,Price_Class,Rate
melo,ملو,خیابان ولیعصر،ضلع جنوب شرقی میدان ولیعصر جنب ورودی B پاساژ تجارت ایرانیان,02188929415,8-22,2,8.6
honar_cafe,هنر,خیابان انقلاب،بین خیابان وصال و قدس،جنب سینما سپیده،کوچه اسکو شماره ۸,02166484885,9:30-22:30,2,8.4
shahraan,کافه رستوران شهران,شهران بین فلکه اول و دوم، رو به روی بانک سپه، رستوران شهران,02144332838,11 الی 24,0,null
khanehsaboo,کافه خانه سبو,خیابان نوفل لوشاتو، کوچه هانری کوبن، نبش صائب پلاک ۵,9907469565,14 الی 21,0,null
baharak,بهارک( دسرک),میدان فاطمی خیابان شهید گمنام ابتدای جهانمهر پلاک ۲۱,02188973704,8:30 الی 22:30,0,null
letocafe,لتوکافه,بهار شمالي، خيابان وركش، نرسيده به كوچه سياسي، لتوكافه,02188495426,8 الی 24,0,null
synod,سی نود,خیابان شهید مطهری، نرسیده به خیابان سهروردی، بین اورامان و سنندج، ساختمان120 طبقه منفی یک، کافه سی نود,02188867931,12 الی 24- روزهای تعطیل 17 الی 24,0,null
shaniya,شانیا,میدان فردوسی به طرف شرق خیابان امیرسلیمانی خیابان مهنا پلاک2، کافه شانیا,02166341215,10 الی 24,0,null
robaee,رباعی,یوسف آباد ، خیابان اسدآبادی، خیابان هجدهم، پلاک33,02188726908,9-23,0,null
cafekhamiz,خامیز,زعفرانیه، آصف، انتهای کوچه حامد، نبش باغستان ششم,02126808894,8-24,2,null
harik,هریک,مطهری- خیابان قائم مقام فراهانی- ابتدای خیابان مشاهیر- پلاک 14,02188830030,10:15- 23:30,0,null
darya_baz,دریا باز,ولنجک ،بلوار دانشجو،خیابان گلریزان، بالاتر از میدان گلریزان,02122429032,12-24,2,8.2
coffemarket,کافه مارکت,میدان ولیعصر، ضلع شمال شرقی میدان، جنب بانک سپه,02188802111,6:45 الی 22,0,null
nanjam,نان جم,یوسف آباد، خیابان اسد آبادی بین 19 و 21,02188104715,6 الی 24 هر روز هفته,0,null
natur,ناتور,کریم خان زند، خیابان آبان جنوبی، پلاک 38، طبقه همکف,02188919862,8 الی 23,0,null
number6,نامبر 6,فرشته، خیابان مریم شرقی، خیابان امین، مجتمع smp,9396666919,12 الی 24,0,null
sweet_angel_pastry,سوییت آنجل,خیابان شریعتی، دوراهی قلهک، خیابان بصیری، پلاک 19,02122000189,8 الی 22:30,0,null
royalgalesi,رویال گلکسی,سهروردی شمالی، پایین‌تر از بهشتی، خیابان میرزای زینالی، پلاک ۴۲,02186125583,7 الی 2 بامداد,0,null
idea_cafe,ایده کونفه,کریمخان- خیابان سنایی- خیابان 18- پلاک28,02188349691,8:30-23,0,null
madaeen,مدائن,خیابان ظفر شرقی، خیابان فرید افشار، بلوار آرش شرقی، پلاک ۴۴,02122252420,10-23:30,0,null
avrin,کافه و رستوران هتل اورین,میدان انقلاب، ابتدای کارگرشمالی، کوچه مجد، پلاک 12,02166591059,7 الی 24,0,null
belinski,بلینسکی,کریمخان،ابتدای خیابان ماهشهر،پلاک ۱۱۸,02186072171,9-24,2,8.5
barmancafe,کافه رستوران بارمان,فرمانیه، خیابان لواسانی، مابین آقایی و وطن پور، پلاک 152,02122202929,10:30 تا 23:30,2,null
beatbistro,بیت بیسترو,خيابان مطهري،خيابان لارستان،نبش كوچه پور فلاح,02188890341,7-21,2,7.9
caferack,راک,شهرک غرب، بلوار دریا، خیابان گلها، نبش توحید 3،پلاک 10,02188369196,9-24,2,8.4
sweet-blissniyavaran,سوییت بلیس (نیاوران),نیاوران بین پمپ بنزین و جماران نبش کوچه ستایش,02122825016,9-23,0,null
chimney,چیمنی (پاسداران),خیابان پاسداران ، بین گلستان 8و9,02122579490,11-24,2,7.6
shemroon_gharb,شمرون (شهرک غرب),شهرك غرب،خيابان ايران زمين شمالى،رو به روى بيمارستان بهمن،جنب فرهنگسراى ابن سينا,02188570359,9-24,2,7.4
golliyancafe,گل لیان,جردن، ناهید غربی، پلاک 14/1,9352865054,24-7,0,null
bamerey,بام ری,خیابان فداییان اسلام صدمتر مانده به میدان اصلی شهرری,02155967000,11-23:30,2,8.0
avani,آوانی,خیابان یوسف آباد ، بین خیابان 62 و 64,02188615560,12-23,2,8.9
noosheh,نوشه,گیشا، انتهای علیایی غربی، دست راست جوادی،پلاک 55,02188267666,7-24,2,6.0
shemroon-baamland,شمرون (بام لند),انتهاى همت غرب ابتداى اتوبان خرازى خروجى درياچه ميدان موج خيابان موج،بلوار صدف،مجموعه تجارى بام لند,02140447341,8-24,2,7.1
