,Persian Name,Address,Phone Number,Is Open,Price_Class,Rate
zhiner_plus,ژینرپلاس,خیابان ولیعصر، نرسیده به پارک وی، خیابان قریشی (تورج)، پلاک 26,02122017817,12-23:30,2,null
loutra,لوترا,"ولیعصر نرسیده به پارک وی،نبش کوچه خاکزاد
پلاک ۲۸۴۱",02122043063,6-22,2,null
52hz_cafe,پنجاه و دو هرتز,پاسداران، خیابان اسلامی، بین گلستان ۱ و ۲,91300656,9-24,2,null
theyarcafe,دیار,خیابان انقلاب،بین ولیعصر و پل کالج،البرز۲،انتهای بن بست البرز1،جنب دانشگاه هنر و معماری,,8-23,2,null
cafe_bavar,باور,خيابان كريمخان خيابان عضدى ( آبان )جنوبي خيابان شهيد جعفر شهرى تماشاخانه سپند,09375738278,15-24,2,null
diversolounge,دیورسو,میدان هروی، مجتمع تجاری الماس هروی، طبقه دوم,02122976568,12-23,2,3.8
interni_gharb,اینترنی (شهرک غرب),شهرک غرب، پاساژ گلستان، نبش ورودی مهستان,09101115155,12-24,3,6.7
deer_factory,دییر فکتوری,خیابان انقلاب،جنب خیابان آذرنوش،پلاک549,02188816378,7:30-23,2,null
blackbox_artcenter,بلک باکس,کریمخان،ایرانشهر،کوچه استاد سمندریان،پلاک ۳۰,02188815018,12-23:30,2,null
delin_cafe,دلین,سهروردی شمالی،بین خیابان بهشتی و مطهری،بین کوچه آزادی و باغ،پلاک ۲۶۴,02186044356,11-24,2,null
coffee_come,دات کام,میدان‌درکه،سر میر‌اسماعیلی،پلاک۱,,9-20,2,null
laminerlounge,لامینر لانژ,شهرك اكباتان،فاز٢،مجتمع تجارى مگامال،تراس طبقه دوم,09034445023,10-23,2,5.2
riva_platin,ریوا,شهرک غرب،مجتمع تجاری پلاتین،طبقه اول,02186091051,11-23,2,null
emcafe,ام,فرشته، خیابان آقابزرگی، پلاک 21,02126372792,11-23,2,null
eran_cafe,اِران,خيابان بهشتي، بين خيابان انديشه و خيابان داريوش ، پلاك ٩٨,,7-24,2,null
locadonut_niavaran,لوکادونات (نیاوران),نیاوران،مژده. میری،عرفانی،پلاک ۱۷,91091009,7:30-23,2,null
locadonut_fereshteh,لوکادونات (فرشته),فرشته. بوسنی هرزگوین. مجتمع تجاری مینیاتور. واحد ١,91091009,10-21,2,null
locadonut_saadatabad,لوکادونات (سعادت آباد),‎سعادت آباد، پایین تر از ميدان فرهنگ، پلاك٣٧,91091009,8-23,2,null
kohenor,کوه نور,میدان کوهسار،جاده سولقان،روبه روی سفره خانه ماه عسل,09125260681,12-24,2,null
cafevalhalla,والهالا,‌شهرک غرب،خیابان سپهر،گلبرگ سوم،انتهای کوچه رضایی غربی,02188368920,12-24,2,null
cafekamak_pasdaran,کامک (پاسداران),پاسداران،روبروی بوستان هفتم،مرکزخرید پاسداران واحد۳۳,,9-21,2,null
cafekamak,کامک (یوسف آباد),خیابان اسد ابادی،بین کوچه ۱۶ و ۱۸,,9-21,2,null
ghahve_khan,قهوه خان,نیاوران،خیابان پور ابتهاج،نبش خیابان محمدی,02126117154,7:30-22:30,2,null
lidocafe,لیدو (ازگل),ازگل،انتهاى ١٢ مترى قائم،روبروى برج حيات نو,,12-24,2,null
shaghayegh_cafe,شقایق,امیر آباد ، نبش کوچه ۱۴، مجتمع تجاری احسان، طبقه یک,09127230048,11-22,2,null
lavender_fereshteh,لوندر (فرشته),فرشته، خیابان بوسنی هرزگوین، خیابان دکتر حسابی، پلاک ۱۳/۱,02122394251,7:30-22,2,null
film_classic,فیلم کلاسیک,خیابان سمیه، تقاطع نجات الهی پلاک 254,02188851374,10 الی 24,0,null
raman_farahzadi,رامان,یادگارامام جنوب،فرحزاد شمالی،رو به روی نمایندگی سایپا پلاک ۲۵,02122114976,11:30-23:30,2,null
ruchik,روچیک,ونك،خيابان خدامى،روبروى هتل هما,02188191401,13-24,2,null
hakubuffet,بوفه هاکو,شهرک غرب،بلوار دریا،خیابان رامشه،پلاک ۲۷,,8-24,2,null
home_alborz,خونه البرز,خیابان انقلاب،زیر پل کالج،کوچه البرز ۲ انتهای البرز ۱ پلاک ۳۲,09123104263,9-23:30,2,null
cafehaft7,هفت (هفت تیر),میدان هفت‌تیر، خیابان کریمخان زند، خردمندجنوبی,02188811224,8-24,2,null
shebrocafe,شبرو,ایران‌مال، طبقه جی ۲، جنب کتابخانه جندی‌شاپور، شبرو بازار,09127772350,11-24,2,null
brunchetto,برانچ تو,میرعماد،کوچه دوم،پلاک22,02122144905,8-23,2,null
barsincoffee,برسین,شهرک غرب،میدان صنعت،ابتدای خیابان ایران زمین،پلاک7,02188577119,7:30-23:30,2,null
adisheh_lounge1,آدیشه لانژ,سعادت آباد، بلوار کوهستان، مرکز تجاری اپال، طبقه دهم,02122381697,12-23:30,3,null
golzar_cafe,گلزار,میدان هفت تیر،خیابان بهار شیراز،خیابان سلیمان خاطر کوچه گلزار,02188865370,10-24,2,null
cafe_chaai,چای (هفت تیر),کریمخان‌زند، خردمند جنوبی، بن‌بست وحدتی‌منش،پلاک ۲,02188832266,13-23,2,5.3
avli,آولی,اندرزگو، نبش علوی پلاک ۲,02122231006,9-22:30,2,null
loafboxbakery,لوف باکس,سعادت آباد، بلوار کوهستان، مرکز تجاری اُپال,02122386812,9-22,2,null
meri,مری,خیابان انقلاب، بعد از دروازه دولت، خیابان رامسر، پلاک ۷,09366239991,10-24,2,null
blucasa2,بلوکازا (شمس آباد),شمس آباد،ضلع جنوب شرقی میدان ملت،پلاک745,02122301030,11:30-23:30,2,null
blucasa3,بلوکازا (قیطریه),روبروی پارک قیطریه،خیابان حداد،پلاک4,02122245404,11-23:30,2,null
yankee,یانکی,خیابان قرنی،نبش کریمخان،هتل بلور،طبقه اول,09372293610,17-5,2,null
c2,سیتو,تهرانپارس،حدفاصل فلکه اول و سه راه,02177880888,12-23,2,null
hezarafsan,حیات هزار افسان,خیابان فلسطین، خیابان بزرگمهر، خیابان برادران شهید مظفر(صبا)، پلاک ۱۲۵,02166981278,10-22,2,null
philosophique,فلسفه,خیابان نوفل لوشاتو، نرسیده به ولیعصر، کاشی 87,02166981267,12-23,2,null
prologue_cafe,پرولوگ,پاسداران،بوستان دوم،پلاک ۹,02122549556,9-22,2,null
the_d_project_cafe,پروژه (د),روبرو پارک نیاوران، داخل فرهنگسرای نیاوران,02122821044,8:30-22:30,2,null
lavielounge,لوی لانژ,شمال کاخ نیاوران،ابتدای کاشانک،پلاک۳۸۶,02126118451,12-24,2,null
cafe_zhivan,ژیوان,سی متری نیروهوایی،نبش اقاجانی غربی،پلاک۴۲۴,,11-23:30,2,null
