Name,Persian Name,Address,Phone Number,Is Open,Price_Class,Rate
rebelan,ربلان,تجریش، ابتدای خیابان جعفری، مرکز خرید تندیس،طبقه7,02122734252,12-24,2,8.4
movaazi,موازی,میدان انقلاب،خیابان کارگر شمالی،پایین تر از نصرت،نبش کوچه جعفرزادگان،پلاک10/78،طبقه2,02166577028,9-22:30,2,7.1
xigan,ژیگان,انقلاب،کارگر شمالی،بالاتر از نصرت،پلاک ۱۱۴۶,02166569890,12-24,2,7.3
cacta,کاکتا,جنت آباد جنوبی، کوچه آذرشب، پلاک ۳۸/۸,09388160909,11-23,2,5.9
moon_lounge,مون لانژ,زعفرانیه،مقدس اردبیلی،بین کیهان و پسیان،پلاک25 طبقه اول,02122183007,11-24,3,7.5
chargoosh_cafe,چارگوش,شهران، خیابان وسک، بالاتر از کوچه دوم,02144331571,9-23,2,3.9
biscotti,بیسکاتی,خيابان بهشتي،تقاطع قائم مقام،پلاک 414,02188700161,6:30-22,2,7.3
h_and_h,اچ اند اچ,گيشا، ابتداي خيابان بلوچستان، پلاك ٦,02188263242,12-24,2,8.8
foodmarket_avacenter,فودمارکت آوا سنتر,خیابان پاسداران، خیابان موحد دانش (اقدسیه)، جنب سفارت چین,02126122426,10-23:30,2,8.3
negima,مجموعه نگیما,قیطریه،روبروی پارک قیطریه،خیابان خراسانی،پلاک13/2,02122241931,8-24,2,8.8
te_cafe,ت (شریعتی),شریعتی، ابتدای قبا، شماره 4,02122841468,11-23,2,7.5
mehre_nikta,حصار (مهر نیکتا),خیابان ولیعصر،روبه روی پارک ملت،نبش کوچه انصاری،برج ملت ، طبقه همکف ، واحد ۲۸,02122026239,9-23,2,8.1
ocean,اوشن,گیشا خیابان علیالی غربی پاساژ ستاره نصر طبقه اول پلاک 27,02188231684,12:30-22,2,7.3
iran_nutella,ایران نوتلا,آجودانیه،مجتمع تفریحی عرش آجودانیه،طبقه دوم،شماره 159,02126455184,12-23,2,7.4
mazzo_plus,مازو پلاس,بلوار فردوس شرق،پاساژ آیریک سنتر،طبقه دوم,02144976088,10-23,2,8.1
kassab_tajrish,قصاب (تجریش),میدان تجریش، تقاطع خیابان دربند و فنا خسرو، پلاک۶۷,02123331111,11:30-23:30,4,6.5
