Name,Persian Name,Address,Phone Number,Is Open,Price_Class,Rate
nakhlestan,نخلستان,خیابان طالقانی،روبروی سینما فلسطین،خیابان برادران مظفر شمالی، پلاک 98,02142887104,8-22,2,7.6
epicure,اپیکور,شهرک غرب، فاز یک، خیابان مهستان، نبش کوچه دوم,02186128863,10-23,1,6.1
fanus_tarasht,فانوس (طرشت),جنب ایستگاه مترو طرشت- کوچه رییسی- پلاک ۳,02144243320,7-24,2,7.7
bajoran,باژوران,انتهای اتوبان ارتش شرق، شهرک لاله، بعد از میوه و تره بار,02126431148,12-24,3,5.1
seencoffee_niloofar,سین کافه (خیابان نیلوفر),خیابان خرمشهر  ، خیابان عشقیار شماره ۴۶,02188757329,8-24,2,8.3
karzin_pasdaran,کارزین (پاسداران),پاسداران، گلستان یکم، نبش پایدار فرد,02122777960,8-23,2,7.1
icepack,آیس پک,خیابان پیروزی ایستگاه صد دستگاه پلاک ۴۸۰,02133333704,12-23,2,6.9
malas,ملس,شریعتی،نرسیده یخچال،فود کورت قلهک،غرفه13,02122605068,10:30-23:30,2,5.3
glaris,گلاریس,پاسداران ، خيابان بوستان پنجم ، تقاطع پايدار فرد پلاك,02122579051,10-24,2,7.1
barizan,باریزان,گلبرگ شرقی،خیابان مصطفوی،پلاک۳۰,02177974120,7-24,2,7.4
goleyakh_piruzi,گل یخ (پیروزی),خ پیروزی ، صد دستگاه ، پ 466,02133350935,11-23,2,8.8
crepe_rahechoobi,کرپ (راه چوبی),اتوبان حقانی، پارک آب و آتش، مجموعه راه چوبی,02188194514,8-24,2,6.8
gelato_plus,جلاتو پلاس (فودکورت ارگ),میدان تجریش،خیابان سعدآباد،مجتمع ارگ،فودکورت ارگ,09123177560,11-24,2,7.0
rozhano,روژانو,خيابان شهيد بهشتى(عباس آباد) ، بعد از تقاطع سهروردى ، ابتداى خيابان كاووسى فر,02188548644,7:30-24,2,8.5
emza,امضا (بام لند),بزرگراه همت غرب ، دریاچه چیتگر ، میدان موج ، مجتمع بام لند ، بلوک C3 طبقه ی دوم,02140447298,9-12,2,7.4
baalaa,بالا,خیابان میرازی شیرازی،نبش کوچه یازدهم،خانه موسیقی بتهوون،پلاک ۶۹،طبقه بالا,02188813578,8-23,2,8.3
tomo_samsenter,تومو (سام سنتر),خیابان فیاضی (فرشته ) ، مرکز خرید سام سنتر ، طبقه اول,02122028080,10-24,2,8.1
vicolo_bamland,ویکولو (بام لند ),بزرگراه همت غرب ، دریاچه چیتگر ، مجتمع بام لند ، بلوک A,02140447261,10-23,2,7.2
darolkhelafe,کتاب دارالخلافه,خیابان امام خمینی،خیابان شیخ هادی،کوچه مظفری خواه,02166729406,8:30-23,2,9.3
viuna_argtajrish,ویونا ( فودکورت ارگ),ويونا مجتمع تجاري ارگ,02122396288,8-23,2,8.9
qamar,قمر,انتهای اتوبان همت،اتوبان شهید خرازی به سمت دریاچه چیتگر،میدان موج،ورودی مرکز بام لند A,02140447292,11-24,2,8.1
varf,ورف,همت غرب ،دریاچه چیتگر،باملند،بلوک L4,02140447314,8:30-24,2,5.2
roj,روژ,همت غرب،دریاچه چیتگر،باملند،بلوک B،طبقه دوم,02140447953,11-24,2,6.8
haft_cheshmeh1,هفت چشمه,میدان گلها،ابتدای گمنام،پلاک ۵۹,02188961610,8-24,2,8.4
mehraban,مهربان,خیابان انقلاب، نبش خیابان نامجو (گرگان)، مجتمع فرهنگی امام رضا(ع)، پلکان جنوبی,02177639766,10-22:30,2,6.6
bapook,باپوک,قیطریه،خیابان کریمی(بوعلی)،پلاک ۶۰,02122240792,8-24,2,8.1
viuna_saadatabad,ویونا (سعادت آباد),انتهای بلوار سعادت آباد، بسمت کوی فراز، نبش چهارراه بهزاد، مجتمع تندیس,02126766321,8-24,2,8.8
tehranbeen,تهران بین,سعادت آباد،خیابان سرو غربی،خیابان ریاضی بخشایش،کوچه هفدهم پنت هاوس برج عرفان طبقه ۹,02122131981,10-23,2,8.0
cut_cafe,کات,خیابان مطهری، خیابان فجر، کوچه مهداد، پلاک ۱۱,02188867470,9-23:30,2,6.7
cluna,کلانا,خیابان کارگر شمالی، نبش نصرت، پلاک ۱۵۲۵,02188971268,7-22:30,2,7.6
cafe_chance,چنس,میدان هروی،خیابان موسوی شرقی،به سمت شمس آباد،جنب بانک رفاه،طبقه اول,02122931978,9-23:30,2,6.8
hesekhob1,حس خوب,بالاترازمیدان هفت حوض،کوچه مهرانپور،پاساژ بهمن طبقه اول,09358247204,8:30-24,2,7.6
mazeh,مزه,تجریش،پاساژ قائم،طبقه هنرمندان,02122755268,11-22,2,7.8
shahoo,آبمیوه بستنی شاهو,شیراز جنوبی، رو به روی بوستان اسدآبادی، پلاک 2,02188615822,12-23,1,5.3
royal_lounge,رویال لانژ,ﺑﺰرﮔﺮاه ﺷﻬﯿﺪ ﻫﻤﺖ، ﺧﺮوﺟﯽ ﺑﻠﻮار ﮐﺎﺷﺎن، میدان موج، خیابان موج بلوار صدف، مرکز تجاری تفریحی بام لند,09121693209,13-15 18-23:30,2,5.3
