,Persian Name,Address,Phone Number,Is Open,Price_Class,Rate
kariz_garden,باغ کاریز,خيابان شريعتي،خيابان دولت،نبش خيابان نعمتي(كيكاوس)،باغ خانه شاعران ايران,02122617179,8-24,2,6.3
tabiat-vip,طبیعت VIP,اتوبان حقانی خیابان شهیدی پارک آب و آتش انتهای پل طبیعت,02188194706,12-24,2,8.0
black_bears,بلک برز,فرشته ، مریم شرقی، خیابان امین ، ساختمان SMP،طبقه اول,02122054167,8:30-23,2,8.4
volga,ولگا,خیابان کریمخان،خیابان سنایی، کوچه اعرابی ۵،پلاک 3,09011388241,10-23,2,6.5
viand,ویند,بلوار مرزداران، بلوار آریافر، روبروی پمپ بنزین، پلاک ۱۷،,02144204149,8-24,2,7.2
terrace,تراس,بام تهران توچال,,8-24,2,5.2
lebiina,لبینا,بلوار اندرزگو،روبروی سه راه قیطریه، نبش شریفی‌منش,02122231285,10-11:45,3,8.8
amoobiook_icecream,عمو بیوک,ستارخان،نبش کوثر دوم،روبروی بانک صادرات پلاک52,02166438641,10-24,2,6.8
gerrdo,گردو,ابتداي گلبرگ غربي،خيابان حيدري،پلاك ٩٦,02177817393,11-23:30,2,8.8
nayrika,نایریکا,اشرفی اصفهانی،خیابان مخبری، نرسیده به چهارراه سردارجنگل،پلاک 79,021,9-23,2,7.8
karfe,کارفه,کریمخان،ویلای ‌جنوبی،کوچه ‌ارشد،شماره ۷,02188926063,10-22,2,null
behrozan_tehranpars,بهروزان,تهران پارس، خیابان بهار، نبش علی پور,02177927158,10-23,2,null
river,ریور,ميرداماد ، ميدان مادر ، خيابان وزيرى پور، پلاك ١٩/١,02126423038,8:30-23:30,2,5.9
pat,پات (باشگاه انقلاب),خیابان ولیعصر،ابتدای  بزرگراه نیایش،درب غربي مجموعه ورزشي انقلاب ، خانه گلف,02126217484,8-23,2,7.4
ashvan,اشوان,شهرک اکباتان، فاز یک ،سوپر دوم، شماره یک,02144635553,10-23,2,7.5
viuna-heravicenter,ویونا (هروی سنتر),میدان هروی ، خیابان موسوی ، نبش نازک ، مرکز خرید هروی سنتر ، طبقه یکم,02126758409,8-22:30,2,7.7
viunaexpress_sana,ویونا اکسپرس (فودکورت سانا),اندرزگو، بین خیابان علوی و کوچه زمانی ، مرکز خرید سانا طبقه دوم,02174438955,11-24,2,6.9
hes_cafe,حس کافه,خیابان فرشته، نیلوفر، مجتمع رویال آدرس طبقه2,02126209940,12-23,2,9.3
gerand_hayat,گراند حیات,خیابان پاسداران، خیابان نگارستان هشتم، نبش چهارراه اول پلاک ۲۶,02122841634,11:30-24,2,8.8
mania,مانیا,حکیمیه،بلوار بهار،بلوار بابايان،تقاطع بلوار افق،نبش بوستان ساحل,02177317364,12-24,2,4.6
game-cafe-gik,کافه بازی گیک,خیابان کریمخان، خیابان سنایی، کوچه سوم، پلاک ۴,02188300805,12-24,2,8.3
rouhi-cafe,روحی,"ميدان بهارستان، خيابان دانشسرا ،خيابان شريعتمدار رفيع ،"" باغ نگارستان """,02133900138,12-20,2,8.9
peranah,پرانا,سعادت آباد ، بلوار دریا ، مطهری شمالی ، خیابان عباسی اناری شرقی ، نبش کوچه آقایی پور،پلاک 10,02188699788,12-23:30,2,7.3
persiangalf,خلیج فارس,یوسف اباد،جهان ارا،انتهایی خیابان 51،سمت راست(خیابان شصتم غربی),02188053230,11-24,3,7.5
whale,وال,خیابان انقلاب روبروی لاله زار شمالی جنب سینما پیام کوچه شکوه پلاک5,02188863027,9-24,2,7.8
vozarahotelapartment,هتل آپارتمان وزرا,خیابان خالد اسلامبولی (وزراء)،بعد از بیمارستان گاندی،پلاک 124,02188206220,7-22,2,7.7
del,دل,سعادت آباد، بلوار سرو شرقي، خیابان مجد، کوچه نسترن، پلاک41,02122141248,11-24,2,4.9
ghasremoj,قصرموج,بلوار میرداماد ، خیابان شمس تبریزی جنوبی ،  کوچه مریم ، پلاک ۲,02122255222,9-24,2,8.2
yama,یاما,خیابان بهشتی ، خیابان کاووسی فر ،  پلاک 43,02188758388,7:30-22,1,8.2
ariana-art-cafe,آریانا آرت کافه,خیابان فرشته نرسیده به چناران پلاک9,02122004741,9-23,2,6.9
otagh_enqelab,اتاق,خیابان انقلاب، خیابان فلسطین جنوبی، کوچه پشن، پلاک 32,02166177025,9-23,2,9.1
boulevard,بلوار,‎زعفرانيه ، مركز خريد پالاديوم ، طبقه دوم,02122664534,8-24,2,8.6
level4,لول فور,ميدان تجريش، مركز خريدارگ، طبقه ٤، کافه‌ رستوران Level4,02140221878,8:30-12:30و13-24,2,8.2
bookcity,شهر کتاب,خیابان شریعتی، نرسیده به پل صدر، پلاک ۱۶۷۱,02122607631,10-23,2,6.5
music,موسیقی,فرشته انتهای خیابان آقابزرگی خیابان اکبری کوچه نیلوفر موزه موسیقی,02122672784,10-23,2,6.8
diplomat,دیپلمات,خیابان استاد مطهری، خیابان فجر (جم سابق)،پلاک 40,02188305090,10:30-22,2,null
raees-jam,رئیس (جم),خیابان مطهری، خیابان فجر، شماره 44,02188314738,8:30-23:45,2,8.7
lamiz,لمیز (ونک),خیابان ولیعصر، بالاتر از میدان ونک،نبش کوچه صیرفی پلاک2469,02188674895,7-24,2,9.0
linecafe,لاین کافه(فود کورت پلاتین),شهرک غرب،بلوار فرحزادی،نبش سینمای ایران,0211737,8-24,2,7.3
opal,اُپال,اشرفی اصفهانی،بالاتر از میدان پونک،نبش کوچه سیزدهم,02146042912,8-23,2,8.2
omid,امید (بلوار فردوس غرب),بلوار فردوس ،نرسیده به اتوبان ستاری ،بلوار ورزی جنوبی، پلاک 20,02144153846,9-23,2,7.8
kariz,کاریز (ترگیل),خيابان شريعتي ، خيابان دولت، نبش نعمتي(كيكاووس) ، باغ خانه شاعران ايران,02122617179,8-23:30,3,8.4
azerbaijan_teahouse,قهوه خانه آذربایجان,میدان انقلاب، ضلع شمال شرقی، پلاک ۱۱۱۹,02166419830,8-23,1,7.4
sub,صاب,جردن ، کوچه مهیار، نبش بن بست زاور، پلاک5,02122036655,12-24,2,7.8
golestan1,گلستان,خيابان حافظ نرسيده به ميدان حسن آباد هتل گلستان كافه گلستان,02166711418,10-22,2,8.1
bonjour-cafe,بن ژور,میدان آرژانتین ، بلوار بیهقی ، روبروی پارکینگ شهروند,02188731819,7:30-24,3,7.9
