,Persian Name,Address,Phone Number,Is Open,Price_Class,Rate
diao_kerman,دیاکو (کرمان),بلوار جمهوری ، خیابان هوشنگ مرادی کوچه شماره ۹,03432111389,11-24,2,null
5-30,پنج و نیم,خیابان بهمنیار ۲۴، انتهای محوطه پارکینگ,09017765438,8:30-24,2,8.3
royal_cafe,رویال,خیابان فیروزه ابتدای خیابان پروین اعتصامی غربی,3432529021,6:45-13 19-22:30,1,8.1
ritooncafe-kerman,ریتون,خیابان بهمنیار ، بهمنیار 24,32469231,9-24,2,7.8
pianocafe-kerman,پیانو,بلوار جمهوری،  خیابان والفجر جنوبی ، نرسیده به بلوار شهید صدوقی,09131437692,9:30-14/16:30-23,2,7.5
sharbatchiyan,شربت چیان,بلوار شیراز،خیابان شهیدان قطبی نژاد (کوچه درختی)،نبش 11,32472087,6:30-13/17:30-22,2,8.2
roz-kerman,رز,خیابان هزار و یک شب کوچه 5 ابتدای کوچه سمت راست,32459736,8:30-13:30 17:30-23,2,8.1
barista-kerman,باریستا,بلوار حمزه، بین کوچه 24 و 26,32457711,7:30-24,2,7.4
keykhosro,کیخسرو,خیابان زریسف ،خیابان برزو آمیغی ،درب سوم ،سمت راست,33127264,8-22:30,1,6.7
