,Persian Name,Address,Phone Number,Is Open,Price_Class,Rate
mescafe_zangan,مس کافه (زنجان),انتهای کوی قائم، نرسیده به تقاطع پليس,33469415,9-23,2,null
sarozangan,سارو (زنجان),مرکز تجاری روشا، طبقه 5,33433290,11-24,2,null
soole_zangan,سوله (زنجان),خیابان خرمشهر، پشت باسکول، جنب بانک پارسیان,09198442282,12-24,2,null
armando_zanjan,آرماندو (زنجان),میدان هنرستان، خیابان سوله، کوچه ابوذر غفاری، پلاک 1/2,02433779443,11-24,2,null
zhi,ژی,زنجان خیابان سعدی شمالی ابتدای خیابان بهار روبروی سیماران پلاک ١٤١,02433442957,3-22,2,8.2
