,Persian Name,Address,Phone Number,Is Open,Price_Class,Rate
deer,دییر,شهرک غرب،خیابان ایران زمین،پاساژ گلستان،حیاط شرقی،واحد22,09305623232,10:30-22:30,2,6.7
ghahvesanto,قهوه سنتو,خیابان ناصرخسرو، روبروی شمس العماره، پلاک 149,09010770548,8-22,2,7.5
alicafe,علی کافه,میدان هفت حوض، خیابان کمیجانی، جنب مهرانپور,02177249604,9-23:30,2,6.7
elba,البا,بلوار آیت الله کاشانی، بلوار اباذر، نبش مهتاب پنجم,02144059609,8-24,2,4.3
kava,کاوا,خیابان آیت الله کاشانی، خیابان ۲۰۰ دستگاه، کوچه یکم پلاک ۱۲,9123949004,9-23,2,7.4
shincafe,شین,خیابان جمهوری، نرسیده به پل حافظ ،ابتدای کوچه لاله ،پلاک ۱۰,02166706263,10-21:30,2,7.4
donutto_asp,دوناتو (آ.اس.پ),مجتمع آ.اس.پ ، پلاک ۲۷A,02188058767,10-22,2,8.1
zhozak_pasdaran,ژوزک (پاسداران),پاسداران، تقاطع داود اسلامی و گلستان پنجم، پلاک 60,02122093205,8-24,2,6.7
zhozek_sohrevardi,ژوزک (سهروردی),سهروردی شمالی، خیابان آپادانا (خرمشهر)، پلاک 125,02122093205,8-24,2,8.1
zhozek_tehranpars,ژوزک (تهرانپارس),تهرانپارس، خیابان 142 غربی، بین خیابان رشید و 113، پلاک 108,02122093205,8-24,2,2.4
zhozak_velenjak,ژوزک (ولنجک),ولنجک، بلوار دانشجو، پشت پارک گلریزان، روبروی مرکز خرید ولنجک,02122093205,8-24,2,null
plus-dadman,آبمیوه پلاس (دادمان),شهرک غرب، بلواردادمان، نرسیده به پل یادگار،پلاک134,02188376368,11-24,2,7.5
nanbersan,نانبرسان,خیابان وحدت اسلامی ، روبروی پارک شهر ، خیابان اسدی منش ، پلاک۴,021,9-24,2,6.9
nesfjahan-enghelab,نصف جهان (انقلاب),خیابان انقلاب ، نرسیده به میدان فردوسی ، جنب سینما فردوسی ، خیابان رامسر ، پلاک ۶,02188845041,8-24,2,6.7
charli-sadeghiye,چارلی (صادقیه),اریاشهر ، سازمان آب شرقی ، بالای فست فود دو لوپی,02144269171,11-23,2,5.2
moon-darband,مون (دربند),خیابان دربند، خیابان تاجیک، خیابان گلابدره2 ، پلاک 39,02122755843,8-24,2,2.4
sharona,شارونا,سهروردى شمالى،ميدان پاليزى،قندى غربى،نبش كوچه دوم،پلاك ٢١,02188533412,11-23:30,2,null
miiv-jamcenter,بستنی میو (جم سنتر),نیاوران،خیابان جماران،جم سنتر،طبقه همکف,02126450892,12-23,1,7.4
chahar-o-chahar,کافه چهار و چهار دقیقه,پونک ، خیابان میرزا بابائی ، نرسیده به چهارراه سردار جنگل,02144487350,9-24,2,6.0
ghooli-cafe,غولی,خیابان انقلاب ، بین خیابان استاد نجات‌الهی(ویلا) و حافظ، کوچه پورموسی، پلاک۳,02188809344,12-22,1,6.3
jazz-cafe,کافه جز,خيابان فلسطين ، خيابان بزرگمهر ، نبش كوچه حكمت ، پلاك ٤٢,02166175064,8-24,2,6.6
zhowancafe,ژ 1,سعادت آباد ، ابتداي بلوار دريا ، نرسيده به خيابان صرافها جنوبی ، پلاك ۷۵,02186128640,8-23,3,5.3
leparc,لو پارک,یوسف آباد، خیابان ۱۹ ، داخل پارک شفق,09011010728,8-24,2,2.4
persian-sadatabad,پرشین (سعادت آباد),سعادت آباد، چهارراه سرو، سرو غربی، نبش کوچه آریا,02122091736,12-24,2,3.8
goldon_cafe,گلدون,انقلاب،خيابان قدس،خيابان بزرگمهر،پلاك ١١٠,02166496161,9-23,2,9.3
patogh-hoseiniye-ershad,پاتوق (حسینیه ارشاد),خیابان شریعتی ، پایین تر از حسینه ارشاد ، نبش کوچه کامیار,02122251343,12-24,1,null
patogh-seidkhandan,پاتوق (سید خندان),خیابان شریعتی ، نبش پل سیدخندان,02122860815,12-24,1,7.8
surena_cafe,سورنا,"بلوار کشاورز ، خیابان وصال شیرازی ، 
نرسیده به ایتالیا ، پلاک ۵۸",02188955780,7-23,2,8.1
tehran-fars,طهران فارس,تهرانپارس ، بین فلکه سوم و چهارم ، نبش218غربی ، پلاک426,02177371166,12-23:30,2,8.1
sayda-shahran,سایدا (شهران),خیابان شهران شمالی ، ۵۰۰ متربالاتر از فلکه سوم شهران,02144314051,11-24,2,5.9
wafflelatte-falah,وافل لته (فلاح),فلاح، میدان گلچین ، نبش کوچه احسانی ، پلاک ۱۹۵,021,12-24,1,7.6
tiyanaz,تیاناز,نارمک،خیابان مدائن شمالی، ابتدای خیابان شهید اخلاقی، پلاک۸۰,02177091217,9-23,2,8.1
notellaland,نوتلا لند,خیابان پاسداران، مابین نگارستان ۲ و۳,02122845143,12-24,2,null
rivazh,ریواژ,خیابان ستارخان،قبل از پل یادگار امام،خیابان صحرایی،مرکز خرید پارسیان،طبقه اول نبش راهرو fشمالی,09120325580,11-22,2,8.2
sahi,ساهی,بالاتر از میدان ولیعصر، جنب سینما استقلال، داخل پاساژ، طبقه زیرزمین,02188914193,10:30-23:30,2,null
nelson_club,نلسون کلاپ,خیابان جردن، خیابان ناهید غربی، پلاک 53,02126203563,12-24,2,null
mahfelsonatisoltani,محفل سنتی سلطانی (دیزی و قلیان),جنت آباد مرکزی، بن بست یازدهم,02144438181,7-24,2,null
