,Persian Name,Address,Phone Number,Is Open,Price_Class,Rate
farnoosh,فرنوش,خیابان کمیل،بعد از پل نواب،نبش خیابان خرمشهر,02155427329,10-23,2,6.7
lawrence,لارنس,شهرک غرب،بلوار فرحزادی انتهای سپهر،گلبرگ سوم،مرکز خرید یادگار،طبقه اول،راهروی A شرقی واحد 68,02188369885,11-23,2,8.2
parsi,پارسی,خیابان بهشتی، خیابان کاووسی فر، پلاک 33، طبقه 2,02188745904,10-24,2,null
sooremehr,سوره مهر,میدان انقلاب، فروشگاه کتاب سوره مهر,02166476568,9:30-19:30,2,7.2
pelato,پلاتو,شهرک اکباتان، فاز ۱، بلوک A1، سوپر۲،پلاک ۹,02144642204,11-24,2,6.8
cafe-tabakhi-kaj,کافه طباخی کاج,تهرانپارس ، خیابان فرجام ، مابین خیابان رشید و زرین ، پلاک ۱۶۰,02177298917,06-24,2,5.9
4bagh,چهارباغ,جنت آبادجنوبی، بلوار چهارباغ شرقی، نرسیده به میدان آتش نشانی،پلاک 48,02144433107,10-23,2,5.2
boardgame,برد گیم,خیابان انقلاب، خیابان شهدای ژاندارمری، پلاک68,02166955334,16-24,2,4.6
sorriso_gelato,بستنی لبخند,فلکه دوم صادقیه،بلوار فردوس شرق،خیابان وفاآذر جنوبی،نبش کوچه نوبری،پلاک 19/2,02144979632,10-23:50,2,8.2
galeria,گالریا,ميدان فاطمي، ميدان گلها، بلوارگلها،پلاك٤٧,02188025258,9-23:15,2,6.7
risterto,ریسترتو,میدان هفت تیر، پایینتر از مسجد الجواد، بن‌بست هوشیار، پلاک ۳,9124053676,11-23,2,6.7
benellilounge,بنلی لانژ,اندرزگو، نبش وطن پور جنوبي، پلاك12/1(مقابل مركز خريد سانا) ، ساختمان”Benelli”,02122214140,8-24,2,6.5
brazza-motahari,برازا (مطهری),خیابان مطهری، خیابان ترکمنستان، نبش بن‌ بست توسکا,02188049332,8:30-24,2,null
donutto-bamland,دوناتو (بام لند),دریاچه خلیج فارس، بام لند، ورودی بی، کیوسک دوناتو,09023008767,11-24,1,7.8
