,Persian Name,Address,Phone Number,Is Open,Price_Class,Rate
byte,بایت,خیابان حبیب اللهی، خیابان قاسمی، پلاک۷۹، جنب جهد دانشگاهی شریف,02165013097,9-22,2,7.5
bigharar,بی قرار,مجیدیه شمالی، بلوار کاووسی ( بلوار بیژن )، بالاتر از گلستان دهم، پلاک ۱۳۵,09121275796,11-24,2,null
chino,چینو,پونک،ضلع شمالی مجتمع بوستان،خیابان کربلایی احمد (اردیبهشت)،راهرو آبشار بالا،پلاک ۸۳۶,09361121275,10-23,2,8.1
entezar,انتظار,خیابان دولت، چهار راه قنات اول، خیابان آقا میری، جنب بانک پاسارگاد، پلاک 45، طبقه همکف، کلینیک دانیان,09355685643,9-24,2,null
faramoshi,فراموشی,سهروردی، اورامی، نبش اسلامی,02188324686,14-22,2,6.7
carpet,گالری فرش,میدان منیریه، خیابان معیری، پلاک 116 و 118,0215538849,9-24,2,null
ahraar,احرار,خیابان پیروزی ، ۱۰۰متر پایین تر از چهار راه کوکا کولا ،نبش خیابان لادن غربی,02177415614,17-24,2,8.1
stage,استیج,میدان دریاچه، بلوار میعاد غربی، درب اصلی دریاچه، استیج غربی، پلاک 11,9191400470,7-12,2,null
sweeney,سوئینی,بلوار فردوس غرب، بعد از بهار شمالی، نبش منوچهر غربی,9124506742,12-24,2,6.8
shine_toba,شاین (مجتمع طوبی),چیتگر.بلوار کوهک مجتمع تجاری طوبی,02146088893,12-23,2,null
coyoti,کایوتی,خیابان انقلاب، بین شریعتی و پل‌چوبی، کوچه توانا,02177538496,10-24,2,null
dreamercafe,دریمر,خیابان کریمخان، خیابان .خردمند جنوبی، ‌کوچه نوشهر، پلاک۳,02188349619,9-24,2,6.7
rosario,روزاریو,فلكه اول تهرانپارس،خيابان قانع،روبروی درب اصلى پاساژ‌ سپيد،پلاك ٣١,02176705347,12-24,2,4.4
local,لوکال,ولنجک میدان دانشگاه انتهای بلوار دانشجو روبروی دبستان ایران زمین پلاک 15.1,02122180511,12-24,2,4.6
taksin2,تک سین,شهرک غرب،بلوار دادمان،خیابان فخارمقدم،پلاک72,02122362809,9-24,2,8.2
nezamiyeh,عمارت نظامیه,ميدان بهارستان، خيابان مصطفى خمينى، خيابان نظاميه، كوچه اصالت، بن بست پنجم,02175904,9-23,2,6.7
delvar,دل وار,نياوران، پايين تر از سه راه ياسر,,9-24,2,null
lattehbaz,لته باز,خیابان بزرگمهر،بین مظفروفلسطین،نبش ساختمان تجاری بزرگمهر,02166453354,11:30-22:30,2,null
concept,کانسپت,خیابان انقلاب ، خیابان رازی ، نبش پارک دانشجو,021,9-23,2,null
hel,هل,فرمانیه ، نارنجستان ۷ ، مجتمع تجاری پارک سنتر ، طبقه اول,02140224257,9_23:30,2,null
miyan,میان,انقلاب، جمالزاده جنوبی، رشتچی، پ ۲۶,02166424376,16-23,2,8.2
sarhanghouse,خانه سرهنگ,انقلاب، میدان فردوسی، خیابان پارس، شماره ۲,,11:30-23:30,2,7.4
persiancatmuseum,موزه گربه  ایرانی,بلوارکشاورز،خ وصال، نرسیده به ایتالیا، بن‌بست مریم,02188965459,12-23,2,7.7
mizho_ferdwos,میژو,بلوار فردوس شرق، بين رامين و مالكى، پلاك ٢٤٨,02144078912,12-24,2,7.4
koranj,کرنج,پاسداران، میدان هروی، خیابان ساقدوش، پایین تر از کوچه یاس پلاک 117/1,02122951616,12-16:30 19-23:30,2,7.5
hononoydonuts_shahrakgharb,هننی دونات (شهرک غرب),شهرک غرب، بلوار دادمان، نرسیده به  پل یادگار ، پلاک ۱۶۷,02188580422,10-23,2,8.1
kalooshe,کالوشه,چمران شمال، بعد از پل نیایش ، خیابان سئول ، شهرک سئول ، نبش هشتم شرقی( روبه روی درب غربی باشگاه انقلاب),02122129960,10-24,2,null
sinak,سیناک,سعادت آباد ، نبشه کوچه ی سی و دوم، پلاک ۵ ، طبقه ی اول,02188686007,12-24,3,null
bittersweet1,بیترسوییت,بلوار کشاورز، برج سامان، بلوک 1,02188998810,9:00-23:30,2,8.4
ghavam,قوام,خیابان سی تیر،روبروی کلیسای پطرس،پلاک ۱۱۲,02166751622,10-24,2,8.1
