,Persian Name,Address,Phone Number,Is Open,Price_Class,Rate
cafe_rosamond,رزاموند,جنت آباد شمالي،بالا تر از چهار راه ايرانپارس،انتهاي خيابان كوروش شرقي،بالاي فرشگاه كوروش,02144820235,12-24,2,null
hero_come,هیرو کام,پونک، ضلع شمالی بلوار همیلا،پلاک39,02146132271,10-24,2,9.3
de_france,دو فرانس,خیابان گاندی،پاساژ گاندی،طبقه اول,02188792038,10-24,2,null
cafe_florence,فلورانس,مرزداران،خیابان ابوالفضل،پلاک8,02144237788,12-23:30,2,6.8
jahroumi,جهرمی,"خیابان وحدت اسلامی(شاپور)
قبل از میدان شاپور، پلاک 586",,11-23,2,null
narin_tehranpars,نارین (تهرانپارس),تهرانپارس، بلوار باقری، فلکه سوم، لاین کندرو، پلاک ۸۴,,12-24,2,null
hoorsun_bistro,هورسان بیسترو,جردن،بالاتر از بلوار اسفندیار،نبش عاطفی غربی پلاک ۱۴۸,02122020072,12:30-23:30,2,6.7
galerry_rahimiyeh,گالری رحیمیه,مترو پانزده خرداد،سبزه میدان،بازار کفاشها،رحیمیه۲,02155815132,10-19,2,null
hama,هاما,شهرک گلستان، بلوار امیرکبیر، تقاطع کاج، مجتمع مال مون,02146020460,9-22,1,null
liza,لیزا,شهرک غرب، خیابان سپهر، بین فرحزادی و فخار مقدم، پلاک 29,02188093728,8:30-24,2,7.5
ghasr_iranian,قصر ایرانیان,میدان جمهوری، خیابان جمهوری، تقاطع خیابان اسکندری، جنب داروخانه، ساختمان راز، طبقه اول,02166941991,11-24,2,6.8
rotinda,روتیندا,قیطریه، بلوار صبا، ابتدای خیابان فاطمیه، نبش مهر ۷,02122201913,11-24,2,null
hoora_gallery,گالری هورا,خیابان نوفل لوشاتو، خیابان رازی، بن بست زندوکیل، پلاک ۶,02166465679,8-23:30,2,6.7
zeus,زئوس,سعادت‌آباد ، میدان کاج ، سرو شرقی ، بلوار علامه شمالی ، نبش چهاردهم شرقی,02122148200,18-24,2,null
zanan_kochak,زنان کوچک,یوسف آباد،نبش پانزدهم،پلاک ۶۵,02188717173,8-22:30,2,8.3
wolfsden,ولفز دن,پاسداران، خیابان پایدار فرد، نبش بوستان دهم,02140227670,12-24,2,4.4
raf,رف,نیاوران، خیابان باهنر، بعد از مژده، بن بست شریعتی، پلاک ۱,09199185586,17-23:15,2,8.1
cafeboard,برد (مطهری),خیابان مطهری، نرسیده به خیابان سهروردی، ساختمان شماره ۱۲۰، طبقه منفی یک,02188867924,16:30-23,2,null
takhtjamshid,تخت جمشید (سیدخندان),خیابان شریعتی، ضلع جنوب پل سیدخندان پلاک ۱۸,02188511119,11:30-23,2,null
westeria,هتل ویستریا,تجریش ، میدان قدس ،خیابان دربند ، نبش احمدی زمانی ، هتل ویستریا,02172071,8-23:30,2,null
lunico,لونیکو,بلوار فردوس غرب( ناصر حجازی)، روبه روی پارک الهام,02146111341,12-24,2,8.1
