Name,Persian Name,Address,Phone Number,Is Open,Price_Class,Rate
cococafe_uromia,کُ کُ (ارومیه),خیابان دانشکده، مرکز خرید دانشکده، طبقه دوم,04433478632,10-22,2,8.1
abshar_oromieh,آبشار (ارومیه),خیابان شیخ شلتوت، نرسیده به میدان تره بار، روبروی بانک سپه,09143496710,10-23,2,null
