Name,Persian Name,Address,Phone Number,Is Open,Price_Class,Rate
insidecafe,اینساید,فرشته، مريم غربي،كوئين سنتر,02122661143,10-24,2,null
cafe_snake,اسنیک,خیابان کریمخان،به سمت میدان ولیعصر،بن بست شاهد,02188890251,10-24,2,null
hobo_lounge,هوبو لانژ,بلوار سعادت آباد،نبش کوچه حق طلب،ساختمان تهران پاریس,09190054735,14-24,2,null
ariya_restaurant_sonati,آریا,‏‎جنت آباد مركزي،روبروي برج طوبي,02144452755,11-23:30,2,null
hemera_tehran,همرا,"پاسداران، خیابان ناطق نوری، میدان‌قبا، ضلع
شمالی ساختمان فرهنگسرا، جنب‌پارک زمرد",02122893990,12-23:30,2,null
herma_cafe,هرما,کنارگذر کریمخان(به سمت هفت‌تیر)٫ بین قرنی و ایرانشهر٫ پلاک۱۹۰,09122369902,10-23:30,2,null
levicafe,لِوی,برج آ اس پ،راهروی طبقه همکف،پلاک66,021888616551,10-24,2,null
emaratehoor,عمارت حور,خيابان حافظ،نرسيده به بازار موبايل ايران،پلاك ١٧٠و١٧٢,02166760796,12-24,2,null
open_mindcafe,روشن فکر,سعادت آباد،علامه جنوبی،٣٨غربي نبی اکرم،نبش۴۰ غربی،پلاك۱,02188699291,12-24,2,null
niki_caferestaurant,نیکی,شهرک غرب،بام پاساژ میلادنور،طبقه6،پلاک29,02188370800,10-24,3,null
maronbar,مارون بار,خیابان اشرفی‌اصفهانی، خیابان پیامبر‌شرقی، پلاک ۴۷,02144973474,11-24,2,null
mashacafe_evinhotel,ماشا,بزرگراه شهید چمران،تقاطع یادگار امام،هتل پارسیلن اوین,09029063234,10:00-4:00,3,null
odessa,اودسا,چهارراه سرسبز ، خیابان آیت شمالی ، پلاک 856,02177228047,12-24,2,7.5
dolitcafe,دلیت,شهرک غرب،بلوارفرحزادی،بلوار نورانی،پلاک52,02188373032,12:30-23,2,null
cafemostaghel,مستقل,خردمند شمالی،کوچه دهم،پلاک ۹,02188313639,12-23,2,null
roseofpersia,رز ایرانی,دزاشیب،نجابت جو،نرسیده به نیاوران،پلاک 16,09120037231,12-24,2,null
bell,بل,سعادت آباد،پایین تر از میدان بهرود،جنب مرکز خرید پرواز,02122078497,17-24,2,null
coffeemarat7hoz,عمارت تراس,میدان هفت حوض، خ آیت شمالی، مجتمع تجاری امرالد استار، طبقه دوم,09129649818,12-24,2,null
alenda,آلندا,خیابان ايرانشهر، خیابان آذرشهر، پلاک ۲۸,02188312958,9-23,2,null
nobu_tehran,نوبو,زعفرانيه، انتهاي ماكويي پور شمالي، كوچه مسجد,02126708017,12-24,3,null
grossi_restaurant,گروسی,پاسداران، تقاطع گیلان و فرخی‌یزدی‌,02122883400,12-23:45,2,null
fisherabadcoffee,فیشرآباد,فیشرآباد(قرنی)،نبش خسرو(دهقانی‌نیا),02141969444,8:30-22,2,null
rota_lounge,روتا لانژ,میدان ولیعصر، هتل آرامیس، روف روتالانژ,02188801330,10-24,3,8.1
rhinocafeclub,راینو (هفت تیر),میدان هفت تیر،هتل مروارید,02188300750,null,2,null
ronak_gardencafe,روناک گاردن,نیاوران،خیابان پور ابتهاج،خیابان خداوردی،کوچه آراسته،پلاک19,09104507000,11-22,2,null
prisca_cafe_restaurant,پریسکا,خیابان کریمخان،خیابان سنائی،پلاک50,02188311501,9-24,2,null
cafe_beynolmelal,بین الملل,ونک ، ابتدای خیابان ملاصدرا ،خیابان پردیس، شماره19,02188783259,9-23,2,null
odette_cafe,اُدت,پونک، اشرفی اصفهانی جنوب، ورودی آبشناسان غرب، طبقه بالای سرزمین سوخاری,02144872954,10-24,2,null
cozylounge,کوزی لانژ,ملاصدرا، شیخ بهایی جنوبی، برزیل غربی، پلاک ۱۵۴,02122803557,12-24,2,6.7
baccara_cafe,باکارا (ولیعصر),چهارراه ولیعصر، ضلع شرقی تئاتر شهر، بین رازی و خارک، بن‌ بست انجمن کتاب، پلاک ۱,09373564072,8:30-24,2,6.7
fidar,فیدار,"آیت اله کاشانی( به سمت صادقیه)،بعد از خروجی ستاری جنوب ، بین ابراهیمی و حسن آباد ،
پلاک ۴۳۰",02144973007,8-22,2,null
baraz,باراز,بلوار مرزداران غربی (بين یادگار امام و اشرفي اصفهاني)، بعد از بانك كشاورزي,02144235719,11-24,2,null
sesenik,سسنیک,خیابان‌ولیعصر، نرسیده به میدان ولیعصر، نبش خیابان فیروزه,02188943444,11-24,2,null
bonak_cafe,بناک,امجدیه ، بهارشمالی ، بالاتر از ورزنده ، کوچه مخبرالملک ، پلاک ۴,02188495311,8:30-23:30,2,6.7
garas,بیکری گراس,هروی،خیابان ساقدوش،انتهای کوچه عدالت,02122332125,9-24,2,null
cafe_clavier,کلاویه,شهرك غرب،بلوار فرحزادى،خيابان عباسى انارى ،پاساژ آريا -واحد ٨ ‏,09388538731,11-23,2,null
cafe_darbar,دربار,خیابان سپهبد قرنی،کوچه امانی، پلاک ۵,02188802576,12-24,2,null
routinecoffee,قهوه روتین,‎پاسداران، نبش نیستان دوم,02126711852,10-22,2,null
look_cafe,لوک,"سعادت آباد ، بالاتر از میدان کاج ، خیابان
هشتم(یعقوبی) ، خیابان مجد ، پلاک ۲۲",02122074794,8-23,2,null
jiliz_viliz_romi,جیلیز ویلیز (پل رومی),خیابان شریعتی، بعد از پل صدر، نرسیده به پل رومی، پلاک 1786,02135075,11:30-23:30,2,null
cafekonj,کنج,بلوار کشاورز، خیابان کبکانیان، نبش کوچه ی ۵، پلاک ۱۲,02188961320,11-22,2,null
lounge12,لانژ 12,پاسداران ، پایدارفرد ، بین بوستان چهارم و پنجم ، پلاک ۱۲,02122555100,12-23:30,2,null
maktabe_ghahve,مکتب قهوه,"نیاوران، سه راه یاسر، انتهای صادقی قمی،
ابتدای خلیلی ،مجتمع پارسیان جماران، دهکده ایرانی",9100019973,12-24,2,null
cafe_karbon,کاربن,خیابان کریم خان، خیابان ایرانشهر،کوچه جمیله شیخی ، پلاک ۱۳,02188823246,8-23,2,null
zeehouse,زی,انقلاب ، خیابان فلسطین ، خیابان لبافی نژاد قبل از ابوریحان،پلاک ۸۵,09309201040,null,2,6.7
braftto,برافتو,خیابان ولیعصر، روبروی‌پارک ملت، کوچه انصاری،مجاور پارکینگ برج ملت،پلاک ۸۷,02122038600,11-23,2,null
lidopluss,لیدو پلاس,ضلع غربی میدان هفت‌حوض، کوچه عظیمی‌نیا، پلاک ۲۴,02177942336,8-23,2,6.7
wantedfastfood,وانتد,خیابان بهار شمالی٫خیابان ورکش٫پلاک۱۷/۱,02188495477,11-23,2,null
