,Persian Name,Address,Phone Number,Is Open,Price_Class,Rate
leevan_zoghalchi,لی وان زغالچی,شهر آرا، پایین تر از اداره گذرنامه، نبش کوچه هفتم(اکبرزاده),02166436782,8-24,2,8.1
dandehshisha,دنده شیشا,اندرزگو، نبش کاوه، کنار رستوران ضیافت، کوچه نیکو ، پلاک۱، طبقه -۱,9123059935,11-24,2,null
caffenoon,نون,خیابان حافظ، روبروی تالار وحدت,02166756044,10-23,2,null
terasideh,تراس ایده,خیابان کریمخان، خیابان سنایی، کوچه هجدهم، پلاک ۲۶، طبقه دوم‌,02188308145,12-22,2,null
restaurantyasmina,یاسمینا,سعادت آباد،نبش نفيسي غربي (٢٣)،پلاك ٧٢/١,02188688629,12:30-23,2,null
sky_lounge,اسکای لانژ,سعادت آباد، میدان بهرود، خیابان 33، هتل اسپیناس پالاس,02175675000,19-2,2,2.6
lertcafe,هاوس لرت,اقدسيه، موحددانش، پلاك ١١٠،مجتمع پلاتين,02126158238,11-20,2,null
arnoosh_home,عمارت آرنوش,خیابان کریمخان، بین خیابان ایرانشهر و خردمند جنوبی، خیابان ماهشهر، کوچه ملکیان، پلاک ۱۸,02188867427,11-22,2,null
24saadatabad,بیست و چهار,سعادت آباد،سرو غربي،١٨ متري مطهري،پلاك ١٢,09123725424,11-23:30,2,null
miraarthouse,خانه میرا,خیابان فلسطین جنوبی، خیابان لبافی نژاد، کاشی ۸۷,02166459765,11-23,2,6.8
corleone,کورلئونه,شهرک غرب، بلوار دریا به سمت شرق، بعد از میدان کوثر، رو به رو پارک دلاوران، خیابان 21 متری گلها,02188563972,8:30-20,2,6.7
danteh_marzdaran,دانته (مرزداران),بلوار مرزداران، جنب شیرینی ماه بانو، پلاک ١٨٥,02144231372,12-24,2,5.3
yar_mansion,عمارت یار,خیابان طالقانی، خیابان حافظ، خیابان رشت، پلاک ۴۱,09332672244,9-20,2,7.1
fermo,فرمو,خیابان گاندی، ضلع شمالی پل همت,02188886240,7-23,2,8.1
shaparak_jomhori,شاپرک (جمهوری),میدان جمهوری، نبش خیابان ارومیه,02166913860,10:30-23,2,null
spinach,اسپیناچ,سعادت آباد،بلوار کوهستان، مجتمع اپال طبقه ۵,02122382637,9-24,2,null
samaaflak,سماع افلاک,مرزداران غربی، خیابان ابراهیمی، برج الوند طبقه ۲,02144262252,9-24,2,null
dorche_opal,درچه,سعادت آباد، خیابان کوهستان، مجتمع تجاری اپال طبقه ي ششم,02122362882,8-24,2,7.5
pirashki_khosravi,پیراشکی خسروی,خیابان جمهوری، جنب کافه نادری، پلاک688,02166763759,8:30-22,2,8.1
rahas,رهاس,جنب سينما فلسطين،خيابان برادران مظفر،شماره ١٢٥,9331331774,9-18,2,null
ivancafe,ایوان (لاله زار),سعدی، خیابان ‌منوچهری، پاساژ مرجان، طبقه‌۱,02133532270,10-20,2,7.7
tierra,تی یرا,دروس، میدان هدایت، پلاک ۲۱,02122550055,12-23:30,2,8.1
yaserkhan,یاسرخان,خیابان ملاصدرا،خیابان شیراز شمالی،پلاک۱۳۱,02188059435,10:30-23,2,null
sora_shahrerey,سرا (شهرری),شهرری، فودکورت ری لند,,11-24,2,8.1
cafefarvahar,فروهر,هروی ، خیابان گلزار ، نبش کوچه پنجم ، همکف برج گلزار,02126753484,8-24,2,8.1
pooli,پولی,ميدان هروى،بين مكران و ساقدوش،پاساژ مايسا،طبقه دوم,,12-20,2,null
feloreh,فلوره,خیابان ولیعصر، پایین تر از میدان ولیعصر، نبش بن بست صدف,02188923589,11-21:30,2,null
