,Persian Name,Address,Phone Number,Is Open,Price_Class,Rate
manza,مان زا,خیابان کریم خان، خیابان نجات الهی، خیابان اراک، پلاک35,02188906727,9-20,2,6.3
vip_kazemi,وی آی پی کاظمی,روبروی ایستگاه مترو چیتگر,021,12-24,2,6.7
cafebeniz,بنیز,فرشته،خیابان آقا بزرگی،خیابان صحرا،پلاک27,,8-23,2,null
angeram,انگرام,خیابان فاطمی، خیابان دائمی، خیابان سازمان آب، پلاک ۳۶,02188391669,10:30-24,2,null
marool,مارول,خیابان شریعتی، پایین تر از سراه طالقانی، نرسیده به چهارراه سمیه، پلاک ۱۱۴/۱,02177531368,9-23,2,null
nuck,ناک,هفت تیر، مفتح جنوبی، ورکش، نبش سیاسی پلاک ۱۷/۷,02188495329,7:30-23,2,8.1
nara,نارا,میدان انقلاب، کارگر شمالی، بالاتر از نصرت، پلاک 1531,,10-22,2,null
cluna_firoze,کلانا (فیروزه),نرسیده به میدان ولیعصر، نبش خیابان فیروزه,02188943555,7-23,2,6.7
chiakoo_pasadaran,چیاکو (پاسداران),پاسداران، نگارستان یکم,02122871020,8-24,2,null
delsa_pasadaran,دلسا (پاسداران),پاسداران روبه روي نگارستان پنجم، پلاک ٤٦,09198030789,11-24,1,3.8
lena_tehranpars,لنا (تهرانپارس),تهرانپارس، خیابان گلبرگ، خیابان۱۱۳(صادقی)، نبش خیابان ۱۴۴غربی(ستانی),02177871000,10-24,2,null
viuna_rosha,ویونا (روشا اکسپرس),ابتدای خیابان لواسانی،مرکزخرید روشا،درب ورودی فرمانیه,02125714114,7-23,2,8.1
kaarizno,کاریزنو,خیابان سمیه، بین ایرانشهر و سپهبدقرنی، پلاک212,02188829192,9:30-23,2,6.7
nikou,نیکو,"ضلع غربی پارک هنرمندان، خیابان ایرانشهر، بن
بست نیکوشهر",02188815824,12-23,2,7.9
aroma_shahrakgolestan,آروما (شهرک گلستان),شهرک گلستان، بلوار کوهک، مجتمع تجاری طوبی، طبقه اول ، واحد149,02146087305,10-22,2,null
babel,بابل,بلوار کشاورز،ابتدای وصال شیرازی،نبش بن بست هما،پلاک119,02186052604,11-23,2,8.1
hoorfamily,هور خانه فرهنگ و غذا,هفت تیر، کوچه مانی، پلاک ۷۵,02188822288,9-24,2,7.0
boncoffee,بن کافی,یوسف آباد،خیابان اکبری(مستوفی)پلاک ۳۰,,9:30-22,2,null
niwayard,حیاط نیوا,پاسداران،گلستان دوم(فلاح زاده)،پلاک 109,02122797883,9:30-24,2,null
dafaraz,دفراز,شهرک آهن، بلوار کوهک، نسیم 16,02146021440,10-22,2,3.8
narvan_enghelab,نارون (انقلاب),خیابان انقلاب، نرسیده به خیابان ویلا جنب قهوه ست ، پلاک ۸۵۰,02166769081,9-24,2,6.7
chekad,چکاد,خیابان یوسف آباد،خیابان شصت و چهارم، مجتمع تجاری، مسکونی ASP،واحد تجاری ۳۴,02188624741,12-23,2,null
doppio,دوپیو,ولیعصر، تقاطع زردتشت نبش کوچه نوربخش,02188919170,12-23,2,null
karkhane,کارخانه,میدان شیخ بهایی ، جنب بانک رفاه ، شماره 1,02188069160,9-23,2,5.3
