,name_en,name_fa,city_id,price_class
143,rush-bandarabas,راش,8,2
144,coco-bandarabas,کوکو,8,2
145,grillpiano-bandarabas,پیانو,8,2
146,fin-bandarabas,فین,8,2
147,zhino-sabzevar,ژینو,9,1
148,terasmashhad,تراس (مشهد),10,2
149,terrace-mashhad,مجموعه غذایی تراس,10,2
150,pardisan_mashad,پردیسان (هتل پردیسان مشهد),10,2
151,boocafe,بوکافه (مشهد),10,2
152,aron_mashhad,آرون (مشهد),10,2
153,comma_mahshad,کاما,10,2
154,sandali-mashhad,صندلی,10,2
155,suger-ahmadabad-mashhad,شکر (احمد آباد),10,2
156,suger-sajad-mashhad,شکر (سجاد),10,2
157,kook-mashhad,کوک,10,2
158,leon-mashhad,لئون,10,2
159,retro-mashhad,رترو (مشهد),10,2
160,cafe1860-mashhad,1860,10,2
161,nabaatcafe-mashhad,نبات,10,2
162,cafe81,کافه 81,10,2
163,sasan_hotel_shiraz,هتل ساسان (شیراز),11,2
164,soofi_shiraz,صوفی (شیراز),11,2
165,almas_shiraz,الماس (شیراز),11,2
166,hajabasali_pesaran,حاج عباسعلی و پسران (شیراز),11,2
167,shin_shiraz,شین,11,2
168,savana_shiraz,ساوانا (شیراز),11,2
169,banan_shiraz,بنان (شیراز),11,2
170,screwchis,اسکوروچی,11,2
171,bababastani-niyayesh,بابا بستنى (نیایش),11,1
172,vital,ویتال,11,2
173,khosha-shiraz,خوشا شیراز,11,3
174,haftkhan_shiraz,مجموعه هفت خوان,11,3
175,joulep-shieaz,ژولپ,11,2
176,caferoyal-shiraz,رویال,11,2
177,pansion_ketab,پانسیون کتاب,11,2
178,cafeinn-shiraz,این,11,2
179,street-lounge-shiraz,استریت لانژ,11,2
180,ferdowsi-shiraz,فردوسی,11,2
181,shahrekaghazi-shiraz,شهر کاغذی,11,2
182,yoga-shiraz,یوگا,11,2
183,chill-shiraz,چیل,11,2
184,cando-shiraz,کندو,11,2
185,khanehonar-shiraz,خانه هنر,11,2
186,bahman-57,بهمن 57,11,2
187,nagashi,نقاشی,11,2
188,hayat,حیاط,11,2
189,geren,گرن,11,2
190,mahooni,ماهونی,11,2
191,patogh-ketab,پاتوق کتاب,11,2
192,memar,معمار,11,2
193,hedayat-shiraz,هدایت,11,2
194,lobbylounge_shiraz,لابی لانژ (شیراز),11,2
195,cafechi_qom,کافه چی,12,2
196,firoozeh,فیروزه,12,2
197,lamiz-qom,لمیز,12,2
198,barancafe-qom,باران,12,2
199,barooncafe-qom,بارون,12,2
200,zhihat-qom,ژیهات,12,2
201,javvafe-qom,ژاو,12,2
202,bahmancafe-qom,بهمن,12,2
203,mazhan_ahvaz,ماژان (اهواز),13,2
204,pottery,پاتری,13,2
205,noveno_ahvaz,نوونو,13,2
206,sahel_ahvaz,ساحل (اهواز),13,2
207,rest-ahwaz,رست,13,2
208,basil_ahvaz,بازیل (اهواز),13,2
209,khatere-keramat-icecream,بستنی خاطره کرامت,13,1
210,famili_ahvaz,فمیلی (اهواز),13,2
211,royalpark,رویال پارک,13,2
212,da-ahvaz,دا,13,3
213,cafedeniz-ahvaz,دنیز,13,2
214,bruja-ahvaz,بروجا,13,2
215,puzzle-ahvaz,پازل,13,1
216,don-ahvaz,دن,13,2
217,gallery28-ahvaz,گالری 28,13,2
218,cinema-ahvaz,سینما,13,2
219,rhino-ahvaz,رینو,13,2
220,borj-ahvaz,برج,13,2
221,kooche-ahvaz,کوچه,13,2
222,laberit5,بستنی لابریت (اهواز),13,1
223,boote,بوته,14,2
224,amirkhan-arak,امیرخان,14,2
225,tishini-arak,تی شی نی,14,2
226,caracal-arak,کاراکال,14,1
