,name
0,tabriz
1,zanjan
2,urmia
3,hamedan
4,isfahan
5,kish
6,kerman
7,karaj
8,bandarabbas
9,sabzevar
10,mashhad
11,shiraz
12,ghom
13,ahwaz
14,arak
15,qazvin
16,tehran
