,feature_name
0,صبحانه
1,ارسال رایگان (Delivery)
2,چشم انداز
3,فضای باز
4,اینترنت رایگان
5,سالاد بار
6,موسیقی زنده
7,قلیان
8,پارکینگ
9,دستگاه کارت خوان
10,محل بازی کودکان
11,سیگار
