,phone_number
484,
485,02122809095
486,09126031037
487,02188342126
488,02188209035
489,02166469069
490,02122434867
491,02188890196
492,02188334818
493,02186037928
494,02122386782
495,09375250154
496,02188963222
497,
498,09354963429
499,09912714132
500,02126454881
501,02188878510
502,02188963232
503,02147673515
504,02166749574
505,02188042079
506,02186126182
507,02122242450
508,02188808871
509,02126316300
510,02122381091
511,09214197883
512,02122112837
513,02122383766
514,02122425052
515,02126208426
516,02188524461
517,09309045190
518,02144000050
519,02122557274
520,02122491360
521,021261212820
522,02188614998
523,02166479180
524,
525,02155357800
526,02188887001
527,02177727065
528,91301725
529,02140447210
530,02122822755
531,09202193061
532,02188815025
533,09127438417
534,02122276206
535,02177955977
536,09373333816
537,
538,02126150421
539,02122283828
540,02122670306
541,
542,09199673742
543,02126455478
544,02144341947
545,02140229014
546,09361298909
547,02122715050
548,02186175382
549,9121279460
550,02122215739
551,02188856149
552,02177224574
553,02188071090
554,02177677254
555,02188601114
556,02188416061
557,02188574755
558,02188078088
559,
560,02155381966
561,02144368429
562,9217260653
563,02122140603
564,02122359015
565,02122180851
566,02186053695
567,02144978731
568,02133934524
569,02177200495
570,02133319225
571,02188997229
572,02177060312
573,02144314051
574,02133519430
575,02122179245
576,02122765436
577,02144000999
578,02188095152
579,02126253102
580,02144998732
581,02144847702
582,02188690973
583,02126650261
584,02166436782
585,9123059935
586,02166756044
587,02188308145
588,02188688629
589,02175675000
590,02126158238
591,02188867427
592,09123725424
593,02166459765
594,02188563972
595,02144231372
596,09332672244
597,02188886240
598,02166913860
599,02122382637
600,02144262252
601,02122362882
602,02166763759
603,9331331774
604,02133532270
605,02122550055
606,02188059435
607,
608,02126753484
609,
610,02188923589
611,02188906727
612,021
613,
614,02188391669
615,02177531368
616,02188495329
617,
618,02188943555
619,02122871020
620,09198030789
621,02177871000
622,02125714114
623,02188829192
624,02188815824
625,02146087305
626,02186052604
627,02188822288
628,
629,02122797883
630,02146021440
631,02166769081
632,02188624741
633,02188919170
634,02188069160
635,02144820235
636,02146132271
637,02188792038
638,02144237788
639,
640,
641,02122020072
642,02155815132
643,02146020460
644,02188093728
645,02166941991
646,02122201913
647,02166465679
648,02122148200
649,02188717173
650,02140227670
651,09199185586
652,02188867924
653,02188511119
654,02172071
655,02146111341
656,02165013097
657,09121275796
658,09361121275
659,09355685643
660,02188324686
661,0215538849
662,02177415614
663,9191400470
664,9124506742
665,02146088893
666,02177538496
667,02188349619
668,02176705347
669,02122180511
670,02122362809
671,02175904
672,
673,02166453354
674,021
675,02140224257
676,02166424376
677,
678,02188965459
679,02144078912
680,02122951616
681,02188580422
682,02122129960
683,02188686007
684,02188998810
685,02166751622
686,02188311142
687,02122334700
688,02144381000
689,02188049681
690,02122494643
691,91090317
692,02166403386
693,02122389049
694,02122564738
695,02122834012
696,02188533413
697,02188564018
698,02188827280
699,09125654731
700,02188573317
701,02133922495
702,02188094633
703,02177763411
704,02177763411
705,02141912
706,02122925762
707,02188370725
708,02122797549
709,02177736003
710,02177964767
711,02188272823
712,02186043927
713,02188842538
714,02166563877
715,02166976042
716,02166975237
717,09125150690
718,09357320021
719,02188009591
720,02188982566
721,99802768
722,02126601561
723,02188562015
724,02166493623
725,02166959918
726,9358509236
727,0214449205
728,0214469
729,09372293610
730,02166407186
731,9125062720
732,02186037498
733,02188837955
734,02188171357
735,02166700666
736,02177647478
737,02122508749
738,02122376525
739,02177035706
740,02177818421
741,02166959331
742,02166419145
743,02140227002
744,02155693105
745,02177230600
746,02177759063
747,02133636280
748,02133838444
749,
750,02188562371
751,02144373912
752,02147675114
753,02166961296
754,02188966863
755,02177199141
756,02188073236
757,09121770215
758,02144037941
759,02177870055
760,02188535677
761,02144667719
762,02188310636
763,02177076096
764,02188610275
765,02122071816
766,02188308371
767,02144294216
768,02166955802
769,09100775588
770,02188953370
771,09300655674
772,02188910770
773,02144374249
774,02122242183
775,02122110961
776,02188732633
777,02188867924
778,02144642490
779,02122431318
780,02122215541
781,02144489670
782,02188687710
783,02122877151
784,02136303030
785,02122666970
786,02186090827
787,02188974098
788,09305623232
789,09010770548
790,02177249604
791,02144059609
792,9123949004
793,02166706263
794,02188058767
795,02122093205
796,02122093205
797,02122093205
798,02122093205
799,02188376368
800,021
801,02188845041
802,02144269171
803,02122755843
804,02188533412
805,02126450892
806,02144487350
807,02188809344
808,02166175064
809,02186128640
810,09011010728
811,02122091736
812,02166496161
813,02122251343
814,02122860815
815,02188955780
816,02177371166
817,02144314051
818,021
819,02177091217
820,02122845143
821,09120325580
822,02188914193
823,02126203563
824,02144438181
825,02155427329
826,02188369885
827,02188745904
828,02166476568
829,02144642204
830,02177298917
831,02144433107
832,02166955334
833,02144979632
834,02188025258
835,9124053676
836,02122214140
837,02188049332
838,09023008767
839,02140447182
840,02122829751
841,02186081195
842,02188920387
843,02144145353
844,02126404031
845,02188802576
846,02122191981
847,09352432655
848,02144403011
849,02122809919
850,02155774411
851,02186037657
852,02166405126
853,02126650665
854,02133829790
855,02188328092
856,02122796521
857,02188822372
858,02140447419
859,02122068034
860,02122494657
861,02144711333
862,02144339863
863,02188975084
864,02166701428
865,02126853108
866,02188798418
867,02166415365
868,02122206715
869,02188619635
870,02144586004
871,02166468566
872,02126125853
873,02188046678
874,02126601517
875,02122387208
876,02166757601
877,02188343127
878,021
879,02122708893
880,02188704580
881,02140447204
882,02188746363
883,02188990319
884,9191251920
885,02122093549
886,02122210900
887,02122180511
888,09109101078
889,02122082070
890,02188807434
891,02122668781
892,02126149830
893,02166763569
894,02133979717
895,09128589383
896,02122396391
897,02122749801
898,02144050408
899,02122751198
900,02133682245
901,02188615792
902,02122396583
903,02188730184
904,0214404445
905,09335220199
906,02188852309
907,02188459396
908,02188495426
909,02122396758
910,02122061787
911,02188823008
912,02122431570
913,02177726529
914,02144249243
915,02166470012
916,02188580167
917,02177323987
918,9123792588
919,02166416802
920,02144971544
921,02140447282
922,02122667760
923,
924,02188362160
925,02177159967
926,02188301658
927,02188805161
928,02188989615
929,02188366969
930,02144070101
931,02188771024
932,02122577758
933,021
934,09124388267
935,02122774990
936,02122080574
937,02122014969
938,02188610384
939,02126122426
940,02122734252
941,02166577028
942,02166569890
943,09388160909
944,02122183007
945,02144331571
946,02188700161
947,02188263242
948,02126122426
949,02122241931
950,02122841468
951,02122026239
952,02188231684
953,02126455184
954,02144976088
955,02123331111
956,02142887104
957,02186128863
958,02144243320
959,02126431148
960,02188757329
961,02122777960
962,02133333704
963,02122605068
964,02122579051
965,02177974120
966,02133350935
967,02188194514
968,09123177560
969,02188548644
970,02140447298
971,02188813578
972,02122028080
973,02140447261
974,02166729406
975,02122396288
976,02140447292
977,02140447314
978,02140447953
979,02188961610
980,02177639766
981,02122240792
982,02126766321
983,02122131981
984,02188867470
985,02188971268
986,02122931978
987,09358247204
988,02122755268
989,02188615822
990,09121693209
991,02140447394
992,02140447994
993,02122660401
994,09109432487
995,02122266644
996,02144266030
997,02186031908
998,02122148851
999,02126127835
1000,02122534920
1001,02188564945
1002,02177878247
1003,
1004,02188763260
1005,02166940068
1006,9201365715
1007,02188349365
1008,02188996273
1009,02186128421
1010,02140226080
1011,02122256876
1012,9197175267
1013,02188942573
1014,02188963578
1015,02188501510
1016,02188922948
1017,02122391706
1018,02122667752
1019,02122139056
1020,02122397828
1021,09306104440
1022,09355444943
1023,02122663678
1024,02126804403
1025,02188456165
1026,02122222
1027,02166881730
1028,02122256876
1029,02188917683
1030,02122347301
1031,02144384200
1032,02188349917
1033,02122141140
1034,02186128640
1035,02126455189
1036,02188623619
1037,02188095083
1038,02126131952
1039,02144958478
1040,02186090890
1041,02122617179
1042,02188194706
1043,02122054167
1044,09011388241
1045,02144204149
1046,
1047,02122231285
1048,02166438641
1049,02177817393
1050,021
1051,02188926063
1052,02177927158
1053,02126423038
1054,02126217484
1055,02144635553
1056,02126758409
1057,02174438955
1058,02126209940
1059,02122841634
1060,02177317364
1061,02188300805
1062,02133900138
1063,02188699788
1064,02188053230
1065,02188863027
1066,02188206220
1067,02122141248
1068,02122255222
1069,02188758388
1070,02122004741
1071,02166177025
1072,02122664534
1073,02140221878
1074,02122607631
1075,02122672784
1076,02188305090
1077,02188314738
1078,02188674895
1079,0211737
1080,02146042912
1081,02144153846
1082,02122617179
1083,02166419830
1084,02122036655
1085,02166711418
1086,02188731819
1087,02166406225
1088,02126643166
1089,02166403414
1090,02188835221
1091,02188055315
1092,02144309965
1093,02177746096
1094,02122660011
1095,02126111140
1096,02188323056
1097,02166492290
1098,02186081279
1099,02188765858
1100,02166385145
1101,02188832727
1102,021
1103,02126290691
1104,02188287845
1105,02144624228
1106,021
1107,02122649561
1108,02188602571
1109,02122431889
1110,02188090099
1111,0218804
1112,02188039499
1113,02144389320
1114,02144422772
1115,02188716255
1116,02188978752
1117,02177956160
1118,02188302842
1119,02166745626
1120,02188766726
1121,02188552925
1122,02166700414
1123,02188094926
1124,02188652255
1125,02126768513
1126,02122742559
1127,9193972207
1128,02122756531
1129,02177166876
1130,02188866722
1131,9120157347
1132,02166404230
1133,02122829248
1134,02188972972
1135,02122710093
1136,02122210311
1137,02188967443
1138,02188974400
1139,02188841634
1140,02122709084
1141,02122554000
1142,02122118102
1143,02166595766
1144,02144961463
1145,02166575736
1146,02166499792
1147,02188873774
1148,02188048166
1149,02144493137
1150,02133904790
1151,02188862554
1152,02177587806
1153,02122984190
1154,02188341252
1155,02166707646
1156,02188891512
1157,02188762424
1158,02188677041
1159,02188385277
1160,02144666004
1161,02166976041
1162,02126643255
1163,02143937
1164,02122233304
1165,02188088181
1166,02122802820
1167,02186072385
1168,02188743656
1169,02166077081
1170,02126701830
1171,021
1172,02144289267
1173,
1174,02188060975
1175,02166128225
1176,02126401507
1177,02122708061
1178,02122007220
1179,02186092106
1180,02188621517
1181,02188852309
1182,02122886542
1183,02142760
1184,02122446312
1185,02122915960
