,id,Name,Latitude,Longitude
0,0,roli_bastani,38.08003568793997,46.30858540534973
1,1,lalehzar_tabriz,38.09703601625928,46.27109885215759
2,2,saniz,38.07700438693774,46.31658166131330
3,3,mosbat_tabriz,38.05686788294643,46.36146247386932
4,4,asa_cafe,38.06474035380125,46.35934285819530
5,5,kolbeh_tabriz,38.06683464425639,46.35102465748787
6,6,sansevan_tabriz,38.05448131849337,46.34750157594681
7,7,geramaphone_tabriz,38.05980874139353,46.28330826759338
8,8,badas_tabriz,38.08056139993987,46.37023329734802
9,9,urbancafe-tabriz,38.07130282660564,46.28806382417679
10,10,roz_tabriz,38.04719547952869,46.34753108024597
11,11,coffee-pedar,38.07351700000000,46.28803900000000
12,12,cafe_pizza,38.06434710000000,46.39496730000000
13,13,lounge-tabriz,38.07664274890498,46.37397229671478
14,14,paeez81,38.05639026000360,46.36128609848730
15,15,emarat,38.02567052716730,46.36569596842350
16,16,Amirchocolateplus,38.06034217383940,46.34775374803420
17,17,13takeaway,38.06466697404120,46.35498296405180
18,18,Rex,38.07210089031620,46.36850311324380
19,19,mescafe_zangan,36.68753400079598,48.51240098476410
20,20,sarozangan,36.69280578437379,48.51084326630719
21,21,soole_zangan,36.66294768103074,48.50678175687790
22,22,armando_zanjan,36.65830661322192,48.50782513618469
23,23,zhi,36.67936883233734,48.48590075969696
24,24,cococafe_uromia,37.52591346948916,45.03868550062179
25,25,abshar_oromieh,37.54550614587921,45.10617936421113
26,26,zhavcafe-hamedan,34.78350531838270,48.51735234260559
27,27,moon,34.79885750000000,48.51502250000000
28,28,arca,32.63557547848710,51.65511712431910
29,29,emarat_simon,32.63645666341453,51.65712609887123
30,30,saad_abad,32.64761627047777,51.66876286268234
31,31,nikan_isfahan,32.63402625472273,51.68074965476990
32,32,parkland_isfahan,32.63932744215874,51.64823792874813
33,33,dastan_esfahan,32.65916740231487,51.67340040206909
34,34,iranian_esfahan,32.63327803243643,51.68838389217853
35,35,radio_esfahan,32.65512524049099,51.66777849197388
36,36,ribar_esfahan,32.63960412525059,51.64387732744217
37,37,sense_esfahan,32.62824186918681,51.65379962852216
38,38,jinergelato_esfahan,32.63581970395187,51.65533840656280
39,39,nazhland,32.63944715005046,51.60600721836090
40,40,hamdamo-saltane-esfahan,32.65846737620234,51.67903840541839
41,41,cafekaghaz-esfahan,32.62603661152406,51.66477173566818
42,42,messo_qali,32.65888513438070,51.67545899748802
43,43,toranj_isfahan,32.63323116245478,51.65106296539306
44,44,farhang_esfahan,32.64636738127020,51.66659413546426
45,45,tatilat_esfahan,32.63307304667290,51.65369689464569
46,46,mystar,32.63052508526016,51.64740443229675
47,47,Sharbatsarayeroozegarnow,32.65560030186440,51.67908801300340
48,48,Sharbatsarayeroozagar,32.65810608759200,51.67848029181440
49,49,plaque2,32.65089700000000,51.67616800000000
50,50,Teatr,32.65379599225160,51.66923368375410
51,51,pastoisfahan,32.64749205664958,51.66899085044861
52,52,One,32.63628725974480,51.65711134672160
53,53,Sharbatkhanefiroo,32.63603431142950,51.65691365928870
54,54,Hermes-brewbar,32.63411172914810,51.67815895263910
55,55,Narvan,32.66051064236520,51.67675441056210
56,56,Teendounat,32.63439270263860,51.67919160990170
57,57,firstcupiran,32.55180500000000,51.68992500000000
58,58,laberitchaharbagh,32.65352800000000,51.66897200000000
59,59,terraceesfahan,32.55181800000000,51.68923800000000
60,60,lavazza,26.52544113686074,54.03301477432251
61,61,navado_shish_kish,26.54824362975204,54.01888489723205
62,62,foodsun_kish,26.53602047333741,54.01905119419098
63,63,cafeananas-kish,26.54449811697810,53.89987394213680
64,64,micafe-kish,26.53841537564980,54.02611063110970
65,65,tehroon-cafe-kish,26.54275368843329,54.02406156063080
66,66,padide-shandiz-kish,26.51716278960748,53.92628759890385
67,67,honarmand-kish,26.54340995180353,54.00923967361450
68,68,viuna-kish,26.54192825495074,54.01901364326477
69,69,mirmohanna,26.54069969179117,54.02483940124512
70,70,diao_kerman,30.27802584719262,57.02391386032104
71,71,5-30,30.29219871283110,57.04462721943860
72,72,royal_cafe,30.28139951825035,57.04883962869644
