,id,Name,Perfect,Good,Ok,Bad,Very Bad
792,824,mahfelsonatisoltani,0,0,0,0,0
793,825,farnoosh,0,1,0,0,0
794,826,lawrence,2,0,0,0,0
795,827,parsi,0,0,0,0,0
796,828,sooremehr,3,1,2,0,0
797,829,pelato,1,1,1,0,0
798,830,cafe-tabakhi-kaj,1,1,0,0,1
799,831,4bagh,0,0,1,0,0
800,832,boardgame,0,1,0,0,1
801,833,sorriso_gelato,2,0,0,0,0
802,834,galeria,0,1,0,0,0
803,835,risterto,0,1,0,0,0
804,836,benellilounge,6,1,2,3,2
805,837,brazza-motahari,0,0,0,0,0
806,838,donutto-bamland,2,1,0,0,0
807,839,blacklounge-bamland,8,4,3,3,5
808,840,ebony,0,0,0,0,0
809,841,cafe41,5,4,0,0,1
810,842,cafese,6,0,0,1,1
811,843,salomba,13,4,0,0,1
812,844,khancookk,2,2,1,1,0
813,845,darbar_cafe,2,1,1,0,2
814,846,queen,1,0,0,1,0
815,847,etefagh,3,2,1,0,1
816,848,buoncibo,1,0,0,0,2
817,849,zhiyan,0,0,0,0,0
818,850,dorehami_emamzadehhasan,6,3,0,0,1
819,851,ahoon,4,4,0,1,0
820,852,cluna_taleghani,1,2,1,0,0
821,853,dallatera,9,4,2,0,1
822,854,salomeh,5,1,0,0,1
823,855,rum-bistro,1,0,0,0,0
824,856,vcafe-pasdaran,2,4,0,0,1
825,857,herman,24,14,4,2,0
826,858,baba-cafe,0,1,0,0,0
827,859,shokofeh_farahzad,0,2,0,0,0
828,860,nonvaghahve,0,1,1,0,0
829,861,dake_shahrakgolestan,1,0,0,0,1
830,862,mahestan-kan,0,1,0,0,0
831,863,piansa,1,1,1,0,0
832,864,khanefamouri,12,8,5,6,2
833,865,fresco,1,0,0,0,1
834,866,mandela_jordan,8,4,3,1,2
835,867,platform934,3,6,3,3,0
836,868,roshanan,12,8,6,5,3
837,869,cafetehraan,0,0,0,0,0
838,870,pelak5_tehransar,1,2,2,0,0
839,871,do_zardeh,0,1,0,0,0
840,872,lamiz_farmaniyeh,4,0,0,0,1
841,873,sheys,0,0,1,0,1
842,874,honar_tajrobe,0,2,2,0,0
843,875,balkon,6,4,1,2,3
844,876,hanna-boutiquehotel,7,3,0,2,0
845,877,rock_somayeh,4,4,1,0,0
846,878,macklly-nirohavaee,3,3,3,0,1
847,879,rouhi_tajrish,21,12,6,3,3
848,880,cafechimney-vozara,4,6,3,2,2
849,881,rolinja,3,6,2,0,4
850,882,samiya,1,0,0,0,1
851,883,poshtboom_keshavarz,1,3,0,1,0
852,884,nivan,0,0,0,0,0
853,885,sepidar,4,3,1,1,2
854,886,salatin,0,0,0,0,0
855,887,local2,7,7,1,1,0
856,888,ec1838b1-5d95-4ad6-bc79-767fbba060fd,0,1,2,2,3
857,889,hiro,0,0,0,0,0
858,890,house1307,7,4,3,0,5
859,891,viuna_paladiom,3,6,1,2,0
860,892,lavenderfarmaniye,3,1,0,0,0
861,893,shahrzad2,1,1,1,0,0
862,894,tezburrger,1,0,0,0,0
863,895,denja,9,1,1,1,1
864,896,chimney_niavaran,1,1,1,0,1
865,897,mito_arg,7,4,0,0,0
866,898,nesen,30,7,1,3,1
867,899,bookalounge,0,0,0,0,0
868,900,simoni_pirozi,14,0,5,1,7
869,901,sweet_dream,8,2,0,0,1
870,902,rocco_cafe_arg,2,2,0,1,0
871,903,baharbeheshti,0,1,0,0,0
872,904,tetoo,7,6,3,0,2
873,905,donutto,3,1,1,0,2
874,906,un_valiasr,0,3,0,1,0
875,907,zhira,1,1,1,0,2
876,908,leto,5,2,1,0,2
877,909,florian,8,10,3,2,4
878,910,dorreh,3,0,0,0,3
879,911,ist,2,1,1,0,0
880,912,dejavu_ardebili,1,0,0,0,3
881,913,khancafe_tehranpars,0,0,0,0,0
882,914,ero,7,7,1,0,1
883,915,fekr_daneshgah,2,0,1,0,0
884,916,chimney-dadman,2,3,5,2,3
885,917,hermo_tehranpars,0,0,1,0,0
886,918,sicas,0,0,0,0,1
887,919,bamdad1,0,1,1,0,0
888,920,viuna_kourosh,4,7,3,2,1
889,921,bab_al_bahr,18,8,3,0,6
