,food_rate,servic_rate,worth,design_rate
220,,,,
221,0.0,0.0,0.0,0.0
222,4.0,2.0,1.0,3.0
223,4.0,5.0,4.0,4.0
224,0.0,0.0,0.0,0.0
225,,,,
226,1.0,1.0,1.0,1.0
227,3.0,2.0,4.0,2.0
228,2.0,2.0,4.0,2.0
229,0.0,0.0,0.0,0.0
230,5.0,5.0,5.0,4.0
231,0.0,0.0,0.0,0.0
232,4.0,4.0,4.0,4.0
233,,,,
234,5.0,5.0,5.0,4.0
235,5.0,4.0,4.0,5.0
236,4.0,4.0,5.0,4.0
237,4.0,2.0,3.0,5.0
238,4.0,3.0,4.0,4.0
239,,,,
240,,,,
241,,,,
242,,,,
243,,,,
244,,,,
245,,,,
246,,,,
247,,,,
248,4.0,4.0,4.0,3.0
249,,,,
250,,,,
251,,,,
252,,,,
253,,,,
254,,,,
255,,,,
256,,,,
257,,,,
258,5.0,5.0,5.0,5.0
259,,,,
260,5.0,5.0,4.0,5.0
261,4.0,4.0,4.0,4.0
262,,,,
263,4.0,4.0,3.0,3.0
264,3.0,4.0,4.0,3.0
265,,,,
266,4.0,4.0,4.0,4.0
267,8.0,4.0,4.0,4.0
268,4.0,4.0,4.0,4.0
269,3.0,2.0,4.0,2.0
270,4.0,4.0,4.0,5.0
271,3.0,4.0,4.0,3.0
272,4.0,4.0,4.0,4.0
273,4.0,4.0,4.0,4.0
274,5.0,5.0,4.0,5.0
275,4.0,4.0,4.0,3.0
276,3.0,3.0,4.0,3.0
277,4.0,4.0,3.0,4.0
278,3.0,4.0,4.0,3.0
279,,,,
280,,,,
281,,,,
282,,,,
283,,,,
284,,,,
285,4.0,5.0,5.0,5.0
286,,,,
287,,,,
288,,,,
289,,,,
290,,,,
291,,,,
292,,,,
293,,,,
294,,,,
295,,,,
296,,,,
297,,,,
298,,,,
299,0.0,0.0,0.0,0.0
300,,,,
301,,,,
302,,,,
303,,,,
304,,,,
305,,,,
306,,,,
307,,,,
308,,,,
309,4.0,4.0,5.0,5.0
310,,,,
311,,,,
312,,,,
313,,,,
314,,,,
315,0.0,0.0,0.0,0.0
316,4.0,4.0,4.0,3.0
317,,,,
318,,,,
319,,,,
320,0.0,0.0,0.0,0.0
321,,,,
322,,,,
323,,,,
324,,,,
325,,,,
326,,,,
327,,,,
328,,,,
329,,,,
330,,,,
331,3.0,4.0,3.0,4.0
332,,,,
333,4.0,3.0,3.0,3.0
334,,,,
335,,,,
336,,,,
337,,,,
338,,,,
339,,,,
340,3.0,4.0,5.0,3.0
341,4.0,4.0,4.0,4.0
342,,,,
343,,,,
344,,,,
345,,,,
346,0.0,0.0,0.0,0.0
347,,,,
348,,,,
349,,,,
350,,,,
351,,,,
352,,,,
353,,,,
354,,,,
355,,,,
356,,,,
357,,,,
358,,,,
359,,,,
360,,,,
361,,,,
362,,,,
363,,,,
364,,,,
365,,,,
366,,,,
367,,,,
368,,,,
369,,,,
370,,,,
371,,,,
372,2.0,2.0,4.0,2.0
373,,,,
374,,,,
375,,,,
376,,,,
377,,,,
378,,,,
379,,,,
380,,,,
381,,,,
382,,,,
383,,,,
384,,,,
385,,,,
386,4.0,3.0,4.0,4.0
387,5.0,5.0,5.0,5.0
388,,,,
389,,,,
390,2.0,3.0,3.0,2.0
391,,,,
392,,,,
393,,,,
394,,,,
395,,,,
396,4.0,4.0,4.0,4.0
397,,,,
398,5.0,5.0,5.0,5.0
399,,,,
400,,,,
401,1.0,2.0,4.0,1.0
402,,,,
403,,,,
404,0.0,0.0,0.0,0.0
405,,,,
406,0.0,0.0,0.0,0.0
407,5.0,5.0,5.0,4.0
408,,,,
409,,,,
410,,,,
411,,,,
412,0.0,0.0,0.0,0.0
413,4.0,4.0,4.0,4.0
414,,,,
415,0.0,0.0,0.0,0.0
416,,,,
417,,,,
418,,,,
419,,,,
420,0.0,0.0,0.0,0.0
421,,,,
422,,,,
423,,,,
424,,,,
425,,,,
426,0.0,0.0,0.0,0.0
427,,,,
428,,,,
429,,,,
430,,,,
431,4.0,4.0,5.0,4.0
432,5.0,4.0,4.0,4.0
433,3.0,5.0,2.0,5.0
434,,,,
435,,,,
436,,,,
437,,,,
438,,,,
439,,,,
440,3.0,2.0,4.0,2.0
441,,,,
442,0.0,0.0,0.0,0.0
443,,,,
444,4.0,4.0,4.0,4.0
445,,,,
446,,,,
447,,,,
448,4.0,4.0,4.0,3.0
449,,,,
450,,,,
451,5.0,2.0,1.0,4.0
452,,,,
453,,,,
454,,,,
455,,,,
456,,,,
457,1.0,1.0,1.0,1.0
458,,,,
459,,,,
460,,,,
461,,,,
462,,,,
463,,,,
464,,,,
465,1.0,1.0,4.0,1.0
466,,,,
467,,,,
468,3.0,4.0,4.0,3.0
469,,,,
470,,,,
471,1.0,1.0,2.0,1.0
472,,,,
473,,,,
474,,,,
475,4.0,4.0,5.0,4.0
476,,,,
477,,,,
478,,,,
479,,,,
480,1.0,1.0,1.0,2.0
481,,,,
482,,,,
483,,,,
484,,,,
485,,,,
486,,,,
487,,,,
488,,,,
489,,,,
490,2.0,2.0,4.0,2.0
491,0.0,0.0,0.0,0.0
492,,,,
493,,,,
494,,,,
495,,,,
496,,,,
497,,,,
498,,,,
499,,,,
500,,,,
501,,,,
502,,,,
503,3.0,3.0,4.0,3.0
504,5.0,5.0,4.0,4.0
505,,,,
506,,,,
507,,,,
508,4.0,4.0,5.0,4.0
509,,,,
510,,,,
511,,,,
512,,,,
513,,,,
514,4.0,5.0,3.0,3.0
515,,,,
516,0.0,0.0,0.0,0.0
517,3.0,3.0,3.0,3.0
518,4.0,5.0,4.0,4.0
519,,,,
520,,,,
521,,,,
522,,,,
523,,,,
524,,,,
525,0.0,0.0,0.0,0.0
526,,,,
527,0.0,0.0,0.0,0.0
528,3.0,2.0,2.0,2.0
529,5.0,5.0,4.0,4.0
530,,,,
531,,,,
532,4.0,4.0,2.0,4.0
533,1.0,3.0,3.0,3.0
534,,,,
535,,,,
536,0.0,0.0,0.0,0.0
537,,,,
538,,,,
539,,,,
540,5.0,5.0,3.0,5.0
541,,,,
542,,,,
543,,,,
544,3.0,3.0,3.0,4.0
545,,,,
546,,,,
547,,,,
548,0.0,0.0,0.0,0.0
549,,,,
550,,,,
551,2.0,2.0,3.0,2.0
552,,,,
553,,,,
554,5.0,4.0,5.0,5.0
555,0.0,0.0,0.0,0.0
556,3.0,4.0,3.0,3.0
557,,,,
558,,,,
559,,,,
560,,,,
561,,,,
562,0.0,0.0,0.0,0.0
563,0.0,0.0,0.0,0.0
564,,,,
565,,,,
566,4.0,4.0,4.0,4.0
567,,,,
568,,,,
569,2.0,3.0,5.0,2.0
570,4.0,4.0,5.0,4.0
571,4.0,5.0,5.0,4.0
572,3.0,2.0,3.0,3.0
573,4.0,3.0,4.0,4.0
574,,,,
575,0.0,0.0,0.0,0.0
576,,,,
577,,,,
578,,,,
579,3.0,3.0,4.0,2.0
580,4.0,2.0,4.0,4.0
